"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://eghiseul.ro/","2384","440","5,418","36,749","Hard","","","","","","","","","","ro","ecdb5de644cde24542b2f22e51c93e87","Indexable",""
"https://eghiseul.ro/calculator/termene-judiciare/","1333","209","6,378","65,052","Normal","","","","","","","","","","ro","73e0b3b324c838fd0a67a4f93c8cabaa","Indexable",""
"https://eghiseul.ro/calculator/dividende/","1440","288","5,000","73,568","Fairly Easy","","","","","","","","","","ro","bee743221d9850344cfa0aeabaa242df","Indexable",""
"https://eghiseul.ro/calculator/salariu/","1111","203","5,473","76,169","Fairly Easy","","","","","","","","","","ro","33351b9c47157249fa55c61ad3db47b3","Indexable",""
"https://eghiseul.ro/servicii/cazier-fiscal-online/","2700","501","5,389","48,427","Hard","","","","","","","","","","ro","bf59e1638dad5167f1f9fb2578c63411","Indexable",""
"https://eghiseul.ro/calculator/estimare-pensie/","1236","189","6,540","79,184","Fairly Easy","","","","","","","","","","ro","b6c4a15cc808219522a2859707d1242c","Indexable",""
"https://eghiseul.ro/servicii/","837","288","2,906","46,309","Hard","","","","","","","","","","ro","615f7bc9db6ddd9a1702f3c731ce2d47","Indexable",""
"https://eghiseul.ro/servicii/extras-multilingv-certificat-casatorie/","2528","467","5,413","46,330","Hard","","","","","","","","","","ro","b3214aa7682a4bdeb85f8b9aaf89fff7","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/","3801","693","5,485","47,270","Hard","","","","","","","","","","ro","6cbedf5d3700189945a6c0efab5b33c6","Indexable",""
"https://eghiseul.ro/calculator/credit-ipotecar/","1338","221","6,054","72,778","Fairly Easy","","","","","","","","","","ro","ac22912b34270c06eefeb58242ce5f0d","Indexable",""
"https://eghiseul.ro/servicii/identificare-imobil/","2235","439","5,091","46,132","Hard","","","","","","","","","","ro","f42c5eff06035e6bfa5894b72084ffda","Indexable",""
"https://eghiseul.ro/servicii/certificat-sarcini/","2274","436","5,216","41,382","Hard","","","","","","","","","","ro","a7b096d3d89fd12383cdf8815fc3bcd4","Indexable",""
"https://eghiseul.ro/servicii/certificat-constatator-online/","3249","607","5,353","44,466","Hard","","","","","","","","","","ro","e7e734f6d06708792d900c4df067b9d9","Indexable",""
"https://eghiseul.ro/termeni-si-conditii/","1760","318","5,535","29,085","Very Hard","","","","","","","","","","ro","e212593a8f0e298449c89d2ae0a5801b","Indexable",""
"https://eghiseul.ro/servicii/copie-carte-funciara/","2303","451","5,106","41,856","Hard","","","","","","","","","","ro","d49913f4ced53e5144013be4423356fb","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-casatorie/","2748","517","5,315","43,908","Hard","","","","","","","","","","ro","f784502463d77b0704d5c9ef7c9f7370","Indexable",""
"https://eghiseul.ro/politica-de-anulare/","781","123","6,350","55,563","Fairly Hard","","","","","","","","","","ro","aab10ce4346510fb0ab7c9b542f0961b","Indexable",""
"https://eghiseul.ro/calculator/impozit-casa/","1444","202","7,149","58,325","Fairly Hard","","","","","","","","","","ro","40f85276dbb9870b916b45cf4c9e30f5","Indexable",""
"https://eghiseul.ro/calculator/indemnizatie-somaj/","1389","190","7,311","75,408","Fairly Easy","","","","","","","","","","ro","7902b8265b5bff6f10208971f65e1836","Indexable",""
