"Address","Occurrences","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://eghiseul.ro/","1","index, follow","","","","https://eghiseul.ro/","","Indexable",""
"https://eghiseul.ro/calculator/termene-judiciare/","2","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/calculator/termene-judiciare/","","Indexable",""
"https://eghiseul.ro/images/footer/payment-methods.webp","0","","","","","","","Indexable",""
"https://eghiseul.ro/_next/static/chunks/acad58d717cd3172.css?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","0","","","","","","","Indexable",""
"https://eghiseul.ro/calculator/dividende/","2","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/calculator/dividende/","","Indexable",""
"https://eghiseul.ro/calculator/salariu/","2","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/calculator/salariu/","","Indexable",""
"https://eghiseul.ro/servicii/cazier-fiscal-online/","2","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/servicii/cazier-fiscal-online/","","Indexable",""
"https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fcazier-auto.png&w=3840&q=75","0","","","","","","","Indexable",""
"https://eghiseul.ro/_next/image/?url=%2Fimages%2Fservicii-header.webp&w=640&q=75","0","","","","","","","Indexable",""
"https://eghiseul.ro/_next/static/chunks/6352972af6db47be.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","0","","","","","","","Indexable",""
"https://eghiseul.ro/calculator/estimare-pensie/","2","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/calculator/estimare-pensie/","","Indexable",""
"https://eghiseul.ro/_next/static/chunks/64e28f22150572eb.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","0","","","","","","","Indexable",""
"https://eghiseul.ro/servicii/","1","index, follow","","","","https://eghiseul.ro/servicii/","","Indexable",""
"https://eghiseul.ro/servicii/extras-multilingv-certificat-casatorie/","2","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/servicii/extras-multilingv-certificat-casatorie/","","Indexable",""
"https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fextras-multilingv-casatorie.webp&w=3840&q=75","0","","","","","","","Indexable",""
"https://eghiseul.ro/_next/static/chunks/e6de0d38135b5383.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","0","","","","","","","Indexable",""
"https://eghiseul.ro/_next/static/chunks/a3dd2bb6b77ca038.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","0","","","","","","","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/","2","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/servicii/extras-de-carte-funciara/","","Indexable",""
"https://eghiseul.ro/images/brand/icon.webp","0","","","","","","","Indexable",""
"https://eghiseul.ro/_next/static/chunks/d96012bcfc98706a.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","0","","","","","","","Indexable",""
"https://eghiseul.ro/calculator/credit-ipotecar/","2","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/calculator/credit-ipotecar/","","Indexable",""
"https://eghiseul.ro/servicii/identificare-imobil/","2","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/servicii/identificare-imobil/","","Indexable",""
"https://eghiseul.ro/servicii/certificat-sarcini/","2","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/servicii/certificat-sarcini/","","Indexable",""
