"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://eghiseul.ro/","1","Cazier Judiciar și Documente Online – Prin Avocat, Fără Cozi, Livrare 24-48h","76","Indexable",""
"https://eghiseul.ro/calculator/termene-judiciare/","1","Calculator Termene Judiciare 2026","33","Indexable",""
"https://eghiseul.ro/calculator/dividende/","1","Calculator Dividende 2026","25","Indexable",""
"https://eghiseul.ro/calculator/salariu/","1","Calculator Salariu Net/Brut 2026","32","Indexable",""
"https://eghiseul.ro/servicii/cazier-fiscal-online/","1","Cazier Fiscal Online Persoană Fizică","36","Indexable",""
"https://eghiseul.ro/calculator/estimare-pensie/","1","Calculator Estimare Pensie","26","Indexable",""
"https://eghiseul.ro/servicii/","1","Serviciile noastre","18","Indexable",""
"https://eghiseul.ro/servicii/extras-multilingv-certificat-casatorie/","1","Extras Multilingv Certificat de Căsătorie — pentru UE","53","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/","1","Extras de Carte Funciară Online","31","Indexable",""
"https://eghiseul.ro/calculator/credit-ipotecar/","1","Calculator Credit Ipotecar 2026","31","Indexable",""
"https://eghiseul.ro/servicii/identificare-imobil/","1","Identificare Imobil după Adresă","31","Indexable",""
"https://eghiseul.ro/servicii/certificat-sarcini/","1","Certificat de Sarcini pentru un imobil","38","Indexable",""
"https://eghiseul.ro/servicii/certificat-constatator-online/","1","Certificat Constatator Online de la Registrul Comerțului (ONRC)","63","Indexable",""
"https://eghiseul.ro/termeni-si-conditii/","1","Termeni și Condiții","19","Indexable",""
"https://eghiseul.ro/servicii/copie-carte-funciara/","1","Copie Carte Funciară in extenso (integrală)","43","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-casatorie/","1","Certificat de Căsătorie Online","30","Indexable",""
"https://eghiseul.ro/politica-de-anulare/","1","Politica de Anulare și Rambursare","33","Indexable",""
"https://eghiseul.ro/calculator/impozit-casa/","1","Calculator Impozit pe Casă 2026","31","Indexable",""
"https://eghiseul.ro/calculator/indemnizatie-somaj/","1","Calculator Indemnizație de Șomaj 2026","37","Indexable",""
"https://eghiseul.ro/gdpr/","1","GDPR — Protecția Datelor","24","Indexable",""
"https://eghiseul.ro/calculator/amenda-circulatie/","1","Calculator Amendă Circulație 2026","33","Indexable",""
"https://eghiseul.ro/politica-cookies/","1","Politica de Cookie-uri","22","Indexable",""
"https://eghiseul.ro/apostila-de-la-haga-ghid-acte-obtinere/","1","Apostila de la Haga: pe ce acte se aplică, unde o obții și cât costă (2026)","75","Indexable",""
"https://eghiseul.ro/servicii/certificat-urbanism-informare/","1","Certificat de Urbanism Online","29","Indexable",""
