"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://eghiseul.ro/","text/html; charset=utf-8","200","OK","Indexable","","eGhișeul.ro — Documente Online: Cazier, Carte Funciară","54","499","Obține cazier judiciar, cazier fiscal, certificat constatator, extras de carte funciară și alte documente online — rapid, legal, fără cozi. Livrare pe email sau curier în 24-48 ore.","181","1043","cazier judiciar online,cazier fiscal,certificat constatator,extras carte funciară,certificat de integritate comportamentală,documente online,acte online România","160","Cazier Judiciar și Documente Online – Prin Avocat, Fără Cozi, Livrare 24-48h","76","Servicii Disponibile","20","Cum obții documente online în 3 pași","36","index, follow","","","","https://eghiseul.ro/","","","","","","510123","68213","68213","10,109","","2384","440","5,418","36,749","Hard","3,683","0","0","","930","232","0","99,570","121","56","0","10","6","0","","","","","ecdb5de644cde24542b2f22e51c93e87","0,079","","","","","ro","1.1","","","","","","https://eghiseul.ro/","2026-09-09 09:12:18"
"https://eghiseul.ro/calculator/termene-judiciare/","text/html; charset=utf-8","200","OK","Indexable","","Calculator Termene Judiciare 2026 — Exact, Gratuit, pe Loc | eGhiseul.ro","72","643","Calculează termenele procedurale (judiciare) conform Codului de Procedură Civilă și Penală: zile, săptămâni, luni sau ani, cu sărbătorile legale 2026 luate în calcul.","166","992","cazier judiciar online,cazier fiscal,certificat constatator,extras carte funciară,certificat de integritate comportamentală,documente online,acte online România","160","Calculator Termene Judiciare 2026","33","Ce sunt termenele procedurale","29","Sistemul „zile libere”","22","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/calculator/termene-judiciare/","","","","","","208454","35196","35196","5,216","","1333","209","6,378","65,052","Normal","5,199","1","2","","237","232","0","99,570","88","55","0","4","3","0","","","","","73e0b3b324c838fd0a67a4f93c8cabaa","0,068","","","","","ro","1.1","","","","","","https://eghiseul.ro/calculator/termene-judiciare/","2026-09-09 09:12:19"
"https://eghiseul.ro/images/footer/payment-methods.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","12236","12236","12236","1,813","","0","","","","","0,000","1","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,107","Wed, 09 Sep 2026 05:54:25 GMT","","","","","1.1","","","","","","https://eghiseul.ro/images/footer/payment-methods.webp","2026-09-09 09:12:19"
"https://eghiseul.ro/_next/static/chunks/acad58d717cd3172.css?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,170","Wed, 09 Sep 2026 05:49:56 GMT","","","","","1.1","","","","","","https://eghiseul.ro/_next/static/chunks/acad58d717cd3172.css?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","2026-09-09 09:12:19"
"https://eghiseul.ro/calculator/dividende/","text/html; charset=utf-8","200","OK","Indexable","","Calculator Dividende 2026 — Impozit 16% și CASS | eGhiseul.ro","61","559","Calculează impozitul pe dividende în 2026: 16% impozit (Legea 141/2025) plus CASS pe plafoane, și află suma netă pe care o încasezi din dividende.","146","908","cazier judiciar online,cazier fiscal,certificat constatator,extras carte funciară,certificat de integritate comportamentală,documente online,acte online România","160","Calculator Dividende 2026","25","Cum se calculează impozitul pe dividende","40","Plafoanele CASS 2026","20","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/calculator/dividende/","","","","","","211500","35844","35844","5,312","","1440","288","5,000","73,568","Fairly Easy","5,417","1","2","","236","232","0","99,570","91","56","0","4","3","0","","","","","bee743221d9850344cfa0aeabaa242df","0,165","","","","","ro","1.1","","","","","","https://eghiseul.ro/calculator/dividende/","2026-09-09 09:12:19"
"https://eghiseul.ro/calculator/salariu/","text/html; charset=utf-8","200","OK","Indexable","","Calculator Salariu Net 2026 — Brut în Net și Invers, Gratuit | eGhiseul.ro","74","631","Calculator salariu 2026: convertești brut în net și invers (CAS, CASS, impozit, deducere personală) plus costul angajatorului.","126","757","cazier judiciar online,cazier fiscal,certificat constatator,extras carte funciară,certificat de integritate comportamentală,documente online,acte online România","160","Calculator Salariu Net/Brut 2026","32","Cum se calculează salariul net din brut în 2026","47","Salariul minim și deducerea personală","37","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/calculator/salariu/","","","","","","202027","33601","33601","4,980","","1111","203","5,473","76,169","Fairly Easy","4,621","1","2","","254","232","0","99,570","87","54","0","4","3","0","","","","","33351b9c47157249fa55c61ad3db47b3","0,075","","","","","ro","1.1","","","","","","https://eghiseul.ro/calculator/salariu/","2026-09-09 09:12:19"
"https://eghiseul.ro/servicii/cazier-fiscal-online/","text/html; charset=utf-8","200","OK","Indexable","","Cazier Fiscal Online persoană fizică — ANAF, fără SPV | eGhiseul.ro","67","598","Cazier fiscal online de la ANAF pentru persoană fizică, fără cont SPV și fără drum la ghișeu. Atestă lipsa datoriilor fiscale, valabil 30 de zile. 198 RON.","155","911","cazier judiciar online,cazier fiscal,certificat constatator,extras carte funciară,certificat de integritate comportamentală,documente online,acte online România","160","Cazier Fiscal Online Persoană Fizică","36","Ce este Cazierul Fiscal și de unde se obține","44","Când Ai Nevoie de Cazier Fiscal?","32","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://eghiseul.ro/servicii/cazier-fiscal-online/","","","","","","540071","63881","63881","9,467","","2700","501","5,389","48,427","Hard","3,628","1","2","","542","232","0","99,570","88","55","0","7","5","0","","","","","bf59e1638dad5167f1f9fb2578c63411","0,114","","","","","ro","1.1","","","","","","https://eghiseul.ro/servicii/cazier-fiscal-online/","2026-09-09 09:12:19"
"https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fcazier-auto.png&w=3840&q=75","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","127290","127290","127290","18,864","","0","","","","","0,000","1","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,264","Tue, 08 Sep 2026 12:35:24 GMT","","","","","1.1","","","","","","https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fcazier-auto.png&w=3840&q=75","2026-09-09 09:12:19"
"https://eghiseul.ro/_next/image/?url=%2Fimages%2Fservicii-header.webp&w=640&q=75","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","23217","23217","23217","3,441","","0","","","","","0,000","1","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,398","Tue, 08 Sep 2026 19:14:41 GMT","","","","","1.1","","","","","","https://eghiseul.ro/_next/image/?url=%2Fimages%2Fservicii-header.webp&w=640&q=75","2026-09-09 09:12:19"
"https://eghiseul.ro/_next/static/chunks/6352972af6db47be.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,106","Wed, 09 Sep 2026 05:49:57 GMT","","","","","1.1","","","","","","https://eghiseul.ro/_next/static/chunks/6352972af6db47be.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","2026-09-09 09:12:19"
