Raport privind anunțul
Toată perioada
Starea anunțului	Adresa URL finală	Titlul 1	Poziția titlului 1	Titlul 2	Poziția titlului 2	Titlul 3	Poziția titlului 3	Titlul 4	Poziția titlului 4	Titlul 5	Poziția titlului 5	Titlul 6	Poziția titlului 6	Titlul 7	Poziția titlului 7	Titlul 8	Poziția titlului 8	Titlul 9	Poziția titlului 9	Titlul 10	Poziția titlului 10	Titlul 11	Poziția titlului 11	Titlul 12	Poziția titlului 12	Titlul 13	Poziția titlului 13	Titlul 14	Poziția titlului 14	Titlul 15	Poziția titlului 15	Descriere	Descrierea 1	Poziția descrierii 1	Descrierea 2	Poziția descrierii 2	Descrierea 3	Poziția descrierii 3	Descrierea 4	Poziția descrierii 4	Descrierea 5	Codul imaginii	Cod de imagine pătrat	ID-ul imaginii în format portret	Cod de siglă	Numele companiei	Codul imaginii din Rețeaua de display	Textul îndemnului	Nume anunț	Cale 1	Cale 2	Adresa URL finală mobilă	Șablon de monitorizare	Sufixul adresei URL finale	Parametru personalizat	Campanie	Grup de anunțuri	Stare	Motive pentru stare	Tip de anunț	Puterea anunțului	Îmbunătățiri privind puterea anunțului	Codul monedei	CPM med.	Af.	Interacțiuni	Rata de interacțiune	Cost mediu	Cost	Conv. (comparabil cu alte platforme)	Cost / Conv. (comparabil cu alte platforme)	Valoare conv. / Cost (comparabil cu alte platforme)	Rata de conv.	Conversii	Cost/Conversie
Activat	https://eghiseul.ro/servicii/cazier-judiciar-online/	Cazier Judiciar Online	 --	Eliberare Cazier Judiciar	 --	Cazier Online	 --	Obține Cazier Judiciar Online	 --	Obținere Cazier Judiciar	 --	Cazier Persoana Fizica	 --	Aplică Online	 --	{KeyWord:Eghiseul. Companie Juridica}	 --	Obțineți Cazierul Rapid	 --	Obține Acum Cazierul Judiciar	 --	Cazier Judiciar Rapid și Ușor	 --	Fără Cozi	 --	Fără Deplasări	 --	Cazier Judiciar Online Sigur	 --	Fără Birocrație	 --	 --	"Obține cazierul judiciar rapid și ușor online. Proces sigur, fără cozi. Aplică acum!"	 --	"Cazier judiciar online în câteva ore. Simplu, rapid și sigur. Evită birocrația!"	 --	"Cazier judiciar online sigur și eficient. Fără stres, fără cozi. Aplică astăzi!"	 --	Simplifică obținerea cazierului judiciar cu platforma online	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	obtine	cazier-judiciar		 --	 --		OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă cinci sitelinkuri în anunț	RON	"460,60"	1.908.676	438.410	"22,97%"	"2,01"	"879141,34"	"0,00"	0	"0,00"	"1,89%"	"8.273,60"	"106,26"
Activat	https://eghiseul.ro/servicii/certificat-constatator-online/	Constatator cu Istoric ONRC	 --	Raport istoric complet	 --	"487 lei, taxe incluse"	 --	"Toate mențiunile, cronologic"	 --	"Serviciu privat, nu ONRC"	 --	"Livrat rapid, pe email"	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"Raport istoric ONRC cu toate mențiunile firmei, în ordine cronologică. 487 lei final."	 --	"Serviciu privat de intermediere, independent de ONRC. Comanzi doar cu CUI-ul firmei."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	constatator	istoric		 --	 --		Search-Constatator-Istoric-2026-08	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Slabă	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă șase sitelinkuri în anunț	RON	0	0	0	 --	0	"0,00"	"0,00"	0	0	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/extras-de-carte-funciara/	Extras De Carte Funciară Online	 --	Verifică Cartea Funciară	 --	Carte Funciară ANCPI Online	 --	Extras de Carte Funciară	 --	Extras CF Online	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"Obține extrasul de carte funciară online, rapid și fără complicații. Sigur și eficient!"	 --	Extras de carte funciară online rapid și sigur. Simplu și eficient. Aplică astăzi!	 --	"Extras de carte funciară online, rapid și sigur. Proces simplu și fără bătăi de cap."	 --	"Obține extrasul de carte funciară în câțiva pași simpli. Rapid, sigur și fără stres."	 --	"Serviciu online pentru extras de carte funciară. Rapid, sigur și ușor de utilizat."	134365602034; 176048017678; 176018647358	150931315599; 150731923303; 150876171449; 176043843468; 176043893292	176043841569; 176043862437	185246066627	eGhiseul	 --	 --	Extras CF	 --	 --		 --	 --		REMARKETING - DGEM	EXTRAS DE CARTE FUNCIARA - CLIENTI	Neeligibil	respins; campanie întreruptă	Anunț imagine de generare de cerere	Bună	 --	RON	"4,00"	598.543	13.466	"2,25%"	"0,18"	"2391,85"	"3,00"	"797,28"	"0,00"	"0,09%"	"11,66"	"205,20"
Activat	https://eghiseul.ro/servicii/cazier-fiscal-online/	Cazier Fiscal Online	 --	Eliberare Cazier Fiscal Online	 --	ANAF Cazier Fiscal Online	 --	Persoane Fizice	 --	Certificat Cazier Fiscal	 --	Verificare Cazier Fiscal	 --	Comandă Online	 --	Fară Deplasări	 --	Fără Birocrație	 --	Ușor de Aplicat	 --	Aplică cu ușurință	 --	Cazier Fiscal Online Ușor	 --	Fără Cozi: Cazier Fiscal	 --	Obține Acum Cazierul Fiscal	 --	 --	 --	 --	"Obține cazierul fiscal online rapid și sigur. Fără cozi, fără stres. Aplică acum!"	 --	Cazier fiscal online rapid și ușor. Proces sigur și eficient. Obține-l acum!	 --	"Simplifică obținerea cazierului fiscal online. Rapid, sigur și comod. Aplică azi!"	 --	"Cazier fiscal online în doar câteva ore. Simplu, rapid și sigur. Obține-l acum!"	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	eliberare	cazier-fiscal		 --	 --		OTP - CAZIER FISCAL	OTP - CAZIER FISCAL	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă șase sitelinkuri în anunț	RON	"314,75"	333.634	72.085	"21,61%"	"1,46"	"105009,80"	"0,00"	0	"0,00"	"3,47%"	"2.498,62"	"42,03"
Activat	https://eghiseul.ro/servicii/certificat-constatator-online/	Eliberare Certificat ONRC	 --	Certificat Constatator Online	 --	Obtine Certificat Constatator	 --	Certificat Constatator Instant	 --	{KeyWord:Eghiseul. Companie Juridica}	 --	Certificat Fonduri IMM	 --	Certificat Constatator Rapid	 --	Certificat Constatator Acum	 --	Constatator Fonduri IMM	 --	Constatator de Bază	 --	Constatator pentru Insolvență	 --	Certificat Constatator ONRC	 --	Cerere Eliberare Constatator	 --	Registru Beneficiari Reali	 --	Certificat in Forma Extinsa	 --	 --	Obtine Certificatul Constatator in doar cateva clickuri. Rapid si sigur	 --	Primesti certificatul direct pe email si SMS in doar 10 minute de la confirmarea comenzii	 --	Certificat Constatator fără complicații. Proces simplu și rapid!	 --	Eliberare rapidă a Certificatului Constatator. Începe acum!	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	certificat	constatator		 --	 --		OPT - Certificat Constatator	Certificat Constatator	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Bună	Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă cinci sitelinkuri în anunț	RON	"420,04"	939.018	86.133	"9,17%"	"4,58"	"394421,73"	"0,00"	0	"0,00"	"6,35%"	"5.467,66"	"72,14"
Întrerupt	https://eghiseul.ro/servicii/certificat-constatator-online/	{KeyWord:Certificat Constatator Online}	1	Aplică Acum Online	 --	Rapid & Sigur	 --	Constatator în 30 minute	 --	Eliberare Certificat ONRC	 --	Fonduri IMM	 --	Eliberare Acum	 --	Acces Instant	 --	Eliberare 24h Garantat	 --	Ușor de Obținut Azi	 --	Certificatul Tău Azi	 --	Servicii Certificat Rapid	 --	Proces Simplu Azi	 --	Registru Beneficiari Reali	 --	Certificat Forma Extinsa	 --	 --	Obtine Certificatul Constatator in doar cateva clickuri. Rapid si sigur	 --	Primesti certificatul direct pe email si SMS in doar 10 minute de la confirmarea comenzii	 --	Certificat Constatator fără complicații. Proces simplu și rapid!	 --	Eliberare rapidă a Certificatului Constatator. Începe acum!	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	certificat	constatator		 --	 --		OPT - Certificat Constatator	Certificat Constatator	Întrerupt	respins; întrerupt; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați câteva titluri unice sau anulați fixarea pentru câteva elemente	RON	"222,32"	10.971	1.136	"10,35%"	"2,15"	"2439,04"	"0,00"	0	"0,00"	"5,08%"	"57,67"	"42,30"
Activat	https://eghiseul.ro/servicii/transcriere-certificat-de-casatorie/	Transcrie Certificat Casatorie	 --	Serviciu Rapid Simplu Eficient	 --	Obtine Certificatul Online	 --	{KeyWord:Eghiseul. Companie Juridica}	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"Te ajutam sa transcrii certificatul de casatorie, simplu si eficient"	 --	Ai nevoie de recunoasterea statutului tau civil în Romania?	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		OPT - Casatorie + Nastere	Transcriere Casatorie	Neeligibil	grup de anunțuri întrerupt; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	"Adăugați mai multe titluri, mărind șansele pentru o performanță mai bună;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați câteva titluri unice sau anulați fixarea pentru câteva elemente"	RON	"111,59"	182	26	"14,29%"	"0,78"	"20,31"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/eliberare-certificat-de-nastere/	Eliberare Certificat Nastere	 --	Serviciu Rapid Simplu Eficient	 --	Obtine Certificatul Online	 --	{KeyWord:Eghiseul. Companie Juridica}	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"Te ajutam sa obtii certificatul de nastere online, fara vizite la institutii locale"	 --	Acceseaza serviciul nostru si finalizeaza procedura rapid si fara complicatii	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		OPT - Casatorie + Nastere	Eliberare Certificat Nastere	Neeligibil	campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	"Adăugați mai multe titluri, mărind șansele pentru o performanță mai bună;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați câteva titluri unice sau anulați fixarea pentru câteva elemente"	RON	"243,40"	944	264	"27,97%"	"0,87"	"229,77"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/eliberare-certificat-de-casatorie/	Eliberare Certificat Casatorie	 --	Serviciu Rapid Simplu Eficient	 --	Obtine Certificatul Online	 --	{KeyWord:Eghiseul. Companie Juridica}	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"Te ajutam sa obtii certificatul de casatorie rapid si eficient, din confortul casei tale"	 --	Completeaza formularul disponibil pe site pentru a incepe procesul	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		OPT - Casatorie + Nastere	Eliberare Casatorie	Neeligibil	grup de anunțuri întrerupt; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	"Adăugați mai multe titluri, mărind șansele pentru o performanță mai bună;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați câteva titluri unice sau anulați fixarea pentru câteva elemente"	RON	"122,60"	146	27	"18,49%"	"0,66"	"17,90"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/transcriere-certificat-de-nastere/	Transcriere Certificat Nastere	 --	Serviciu Rapid Simplu Eficient	 --	Obtine Certificatul Online	 --	{KeyWord:Eghiseul. Companie Juridica}	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	Experti de top in obtinerea si legalizarea documentelor	 --	"Te ajutam sa transcrii certificatul de nastere, simplu si eficient"	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		OPT - Casatorie + Nastere	Transcriere Nastere	Neeligibil	grup de anunțuri întrerupt; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	"Adăugați mai multe titluri, mărind șansele pentru o performanță mai bună;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați câteva titluri unice sau anulați fixarea pentru câteva elemente"	RON	"182,65"	200	42	"21,00%"	"0,87"	"36,53"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
