Raport la nivel de campanie
Toată perioada
Acțiune de conversie	Starea campaniei	Campanie	Buget	Numele bugetului	Tip de buget	Codul monedei	Stare	Motive pentru stare	Scorul de optimizare	Tipul campaniei	CPM med.	Af.	Interacțiuni	Rata de interacțiune	Cost mediu	Cost	Conv. (comparabil cu alte platforme)	Cost / Conv. (comparabil cu alte platforme)	Valoare conv. / Cost (comparabil cu alte platforme)	Tipul strategiei de licitare	Clicuri	Rata de conv.	Valoarea conversiilor	Valoare conv./Cost	Conversii	CPC med.	Cost/Conversie	Valoarea inițială a conv.
Purchase	Activată	Search-Cadastru-Documente-2026-08	"40,00"	 --	Zilnic	RON	Eligibil (limitat)	strategia de licitare este limitată	"84,29"	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Maximizați numărul de clicuri	0	 --	"89,00"	0	"1,00"	0	0	"89,00"
Purchase	Întreruptă	Performance Max-5-Fiscal	"240,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea grupurilor de elemente sunt limitate de politică	 --	Performanță maximă	0	0	0	 --	0	0	"0,00"	0	0	Maximizați numărul de conversii	0	 --	"829,99"	0	"4,00"	0	0	"829,99"
Purchase	Întreruptă	Search-26-Fiscal	"281,12"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Maximizați numărul de conversii	0	 --	"250,00"	0	"1,00"	0	0	"250,00"
Purchase	Întreruptă	Search-20	"254,75"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Maximizați numărul de conversii	0	 --	"839,98"	0	"4,00"	0	0	"839,98"
Purchase	Întreruptă	Performance Max-3	"801,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea grupurilor de elemente sunt limitate de politică	 --	Performanță maximă	0	0	0	 --	0	0	"0,00"	0	0	Maximizați numărul de conversii	0	 --	"7.757,36"	0	"32,00"	0	0	"7.757,36"
Purchase	Întreruptă	SEARCH-NEW-2026	"1797,62"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Sumă CPA vizată	0	 --	"76.521,05"	0	"127,00"	0	0	"76.521,05"
Purchase	Întreruptă	CAMPANIE V4 - MINIMALIST + AI	"1200,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Maximizați numărul de conversii	0	 --	"34.862,03"	0	"117,00"	0	0	"34.862,03"
Purchase	Întreruptă	ASSISTENTA NOU	"2100,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"272.984,00"	0	"3.703,00"	0	0	"272.984,00"
Purchase	Întreruptă	Asistenta Obtinere Cazier	"1000,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"16.669,22"	0	"60,96"	0	0	"16.669,22"
Purchase	Întreruptă	OTP - CERTIFICAT DE CELIBAT	"500,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Sumă CPA vizată	0	 --	"14.480,07"	0	"39,00"	0	0	"14.480,07"
