termen,campanie,clicuri,cost_ron,conversii,valoare_conv_ron
cazier judiciar online,OPT- Cazier Judiciar Online,135045,308062.28,2987.62,0
extras de carte funciara,Extras CF - SEARCH CAMPAIGN,19641,93993.81,2323.92,0
certificat constatator online,OPT - Certificat Constatator,9700,88489.0,1185.58,0
extras carte funciara online,Extras CF - SEARCH CAMPAIGN,7653,38912.25,825.61,0
cazier fiscal online,OTP - CAZIER FISCAL,16411,28344.08,772.13,0
cazier judiciar online,ASSISTENTA NOU,2320,5681.15,639.57,0
cazier online,OPT- Cazier Judiciar Online,33716,43750.72,401.13,0
onrc,OPT - Certificat Constatator,8250,25193.18,370.53,0
cf online,Extras CF - SEARCH CAMPAIGN,4195,18950.6,361.71,0
extras de carte funciara online,Extras CF - SEARCH CAMPAIGN,3273,16245.11,332.25,0
carte funciara,Extras CF - SEARCH CAMPAIGN,4504,14807.91,320.54,0
cazier judiciar,OPT- Cazier Judiciar Online,15717,33402.57,306.44,0
cazier fiscal,OTP - CAZIER FISCAL,6280,10768.23,256.16,0
ancpi online,Extras CF - SEARCH CAMPAIGN,2809,5551.5,226.05,0
cazier online,ASSISTENTA NOU,1244,2082.05,224.08,0
certificat constatator,OPT - Certificat Constatator,1870,17122.74,196.52,0
cazier fiscal online,ASSISTENTA NOU,798,1610.89,182.37,0
certificat constatator onrc,OPT - Certificat Constatator,1778,15198.84,163.23,0
certificat constatator,OPT - Certificat Constatator,2107,8018.8,159.58,0
cazier judiciar persoane juridice,OPT- Cazier Judiciar Online,4375,16942.23,155.12,0
ghiseul ro cazier,OPT- Cazier Judiciar Online,12571,8956.41,137.75,0
ghiseul ro cazier,ASSISTENTA NOU,625,981.05,133.52,0
program cadastru timisoara,Extras CF - SEARCH CAMPAIGN,15,18.54,130.0,0
cazier judiciar online gratuit,ASSISTENTA NOU,629,923.95,125.17,0
cazier judiciar online,ASSISTENTA NOU,6703,9792.22,123.05,0
ghiseul ro cazier judiciar,OPT- Cazier Judiciar Online,6307,15135.2,113.63,0
cazier judiciar,ASSISTENTA NOU,1587,3203.0,112.34,0
extras cf online,Extras CF - SEARCH CAMPAIGN,373,1374.4,108.42,0
ghiseul ro cazier,OPT- Cazier Judiciar Online,6233,12150.82,98.61,0
ghiseul ro cazier,OPT- Cazier Judiciar Online,7007,9115.09,97.01,0
certificat fiscal online,OTP - CAZIER FISCAL,3464,3599.18,91.64,0
eliberare certificat constatator,OPT - Certificat Constatator,924,5486.97,81.53,0
eliberare cazier judiciar online,OPT- Cazier Judiciar Online,4423,8762.27,80.83,0
extras carte funciara online,Extras CF - SEARCH CAMPAIGN,337,1263.44,79.5,0
extras carte funciara,Extras CF - SEARCH CAMPAIGN,269,1021.82,78.83,0
extras carte funciara cluj,Extras CF - SEARCH CAMPAIGN,649,2625.3,72.98,0
certificat constatator onrc,OPT - Certificat Constatator,848,2976.43,70.48,0
certificat constatator,OPT - Certificat Constatator,874,6795.48,69.48,0
cazier fiscal anaf online,OTP - CAZIER FISCAL,1550,2406.61,67.94,0
onrc online,OPT - Certificat Constatator,1323,5113.71,66.7,0
cazier fiscal,ASSISTENTA NOU,382,816.05,63.0,0
onrc portal,OPT - Certificat Constatator,2040,5075.38,58.87,0
cazier fiscal persoana fizica,OPT- Cazier Judiciar Online,987,4363.98,56.67,0
extras de carte funciara online,Extras CF - SEARCH CAMPAIGN,333,1628.63,55.98,0
cazier fiscal online,ASSISTENTA NOU,1138,2668.13,55.01,0
anaf cazier fiscal online,OTP - CAZIER FISCAL,1650,2065.72,53.2,0
certificat constatator registrul comertului,OPT - Certificat Constatator,590,4230.07,52.63,0
obtinere cazier judiciar online,OPT- Cazier Judiciar Online,2437,4974.95,52.59,0
eliberare cazier judiciar,OPT- Cazier Judiciar Online,3851,6822.34,49.96,0
ghiseul ro cazier judiciar,OPT- Cazier Judiciar Online,3172,3543.88,48.35,0
certificat fiscal,OTP - CAZIER FISCAL,1590,1798.14,47.48,0
extras carte funciara,PMAX- GENERAL,966,2276.29,46.84,0
cf online timisoara,Extras CF - SEARCH CAMPAIGN,361,1620.61,45.01,0
cazier fiscal persoana fizica online,OTP - CAZIER FISCAL,765,1450.02,44.46,0
certificat fiscal anaf online,OTP - CAZIER FISCAL,1614,1696.01,44.41,0
certificat fiscal anaf,OTP - CAZIER FISCAL,1427,1366.54,43.56,0
cadastru cluj,Extras CF - SEARCH CAMPAIGN,698,1554.12,43.0,0
cazier fiscal persoana fizica,OTP - CAZIER FISCAL,826,1360.96,41.77,0
extras carte funciara bucuresti,Extras CF - SEARCH CAMPAIGN,312,1403.18,41.51,0
onrc bucuresti,OPT - Certificat Constatator,1028,2992.75,41.44,0
ocpi ilfov,Extras CF - SEARCH CAMPAIGN,487,1375.95,41.23,0
ghiseul ro,OPT- Cazier Judiciar Online,2906,7126.03,40.88,0
cazier judiciar online romania,OPT- Cazier Judiciar Online,1097,4798.86,40.17,0
eliberare cazier judiciar online,ASSISTENTA NOU,158,298.48,40.08,0
extras carte funciara online,Extras CF - SEARCH CAMPAIGN,514,2834.23,38.75,0
eliberare certificat constatator online,OPT - Certificat Constatator,417,2432.19,38.66,0
extras de carte funciara cluj,Extras CF - SEARCH CAMPAIGN,378,1841.26,38.53,0
extras cf online,PMAX- GENERAL,602,1775.99,38.5,0
extras de carte funciara pentru buletin,Extras CF - SEARCH CAMPAIGN,473,1376.01,38.2,0
certificat constatator onrc online,OPT - Certificat Constatator,327,2402.06,37.94,0
ghiseul ro cazier judiciar online,ASSISTENTA NOU,238,345.11,37.58,0
cf online,Extras CF - SEARCH CAMPAIGN,345,959.41,37.5,0
act constitutiv online,OPT - Certificat Constatator,514,1795.66,36.5,0
eliberare certificat constatator onrc,OPT - Certificat Constatator,396,2576.91,36.11,0
cazier online ghiseul ro,OPT- Cazier Judiciar Online,1601,3125.86,35.73,0
extras carte funciara,PMAX-Vanzari,399,1943.64,35.51,0
extras carte funciara brasov,Extras CF - SEARCH CAMPAIGN,476,1926.0,35.44,0
certificat constatator extins,OPT - Certificat Constatator,389,2506.29,33.42,0
cazier fiscal,ASSISTENTA NOU,666,1598.78,33.33,0
cazier online gratuit,ASSISTENTA NOU,168,219.17,32.83,0
certificat de cazier fiscal,OTP - CAZIER FISCAL,741,1203.64,32.65,0
cazier,OPT- Cazier Judiciar Online,2575,3987.8,31.93,0
extras de carte funciara constanta,Extras CF - SEARCH CAMPAIGN,210,835.91,31.9,0
caziere online,OPT- Cazier Judiciar Online,1185,2649.18,31.46,0
constatator online,OPT - Certificat Constatator,212,2509.0,30.99,0
cadastru sibiu,Extras CF - SEARCH CAMPAIGN,299,637.79,30.66,0
cazier judiciar persoane fizice,OPT- Cazier Judiciar Online,818,2923.77,30.17,0
ghiseul ro cazier judiciar,ASSISTENTA NOU,105,182.18,30.0,0
hub mai gov ro cazier judiciar,ASSISTENTA NOU,24,85.12,30.0,0
ancpi ro,Extras CF - SEARCH CAMPAIGN,733,1485.02,29.83,0
certificat de cazier fiscal online,OTP - CAZIER FISCAL,545,1072.24,29.65,0
cf online cluj,Extras CF - SEARCH CAMPAIGN,215,919.27,29.5,0
certificat de cazier judiciar,OPT- Cazier Judiciar Online,844,2544.67,29.06,0
cazier judiciar firma,OPT- Cazier Judiciar Online,502,1427.7,28.3,0
extras cf online timisoara,Extras CF - SEARCH CAMPAIGN,189,794.14,28.0,0
eliberare certificat fiscal online,OTP - CAZIER FISCAL,1446,1304.71,27.94,0
certificat constatator extins online,OPT - Certificat Constatator,210,1676.81,27.84,0
cazier judiciar romania,OPT- Cazier Judiciar Online,285,1510.14,27.68,0
ghiseul ro cazier judiciar online,OPT- Cazier Judiciar Online,2440,4347.03,27.52,0
ocpi iasi,Extras CF - SEARCH CAMPAIGN,353,961.97,27.02,0
extras carte funciara timisoara,Extras CF - SEARCH CAMPAIGN,265,1286.51,27.0,0
ancpi cluj,Extras CF - SEARCH CAMPAIGN,369,864.69,27.0,0
cf online,Extras CF - SEARCH CAMPAIGN,196,681.41,27.0,0
