Țara,23.08.2026 - 08.09.2026 Clicuri,01.08.2026 - 17.08.2026 Clicuri,23.08.2026 - 08.09.2026 Expuneri,01.08.2026 - 17.08.2026 Expuneri,23.08.2026 - 08.09.2026 CTR,01.08.2026 - 17.08.2026 CTR,23.08.2026 - 08.09.2026 Poziție,01.08.2026 - 17.08.2026 Poziție
România,11274,52081,68107,1781720,16.55%,2.92%,4.57,6.19
Germania,94,419,497,15164,18.91%,2.76%,4.22,6.02
Italia,59,363,455,10674,12.97%,3.4%,3.86,6.33
Regatul Unit (United Kingdom),51,287,435,26817,11.72%,1.07%,4.89,5.52
Grecia,25,79,114,3131,21.93%,2.52%,3.61,6.56
Franța,24,96,120,2507,20%,3.83%,9.88,7.41
Spania,18,163,165,4854,10.91%,3.36%,9.92,6.43
Țările de Jos,16,63,140,9034,11.43%,0.7%,5.03,6.24
Austria,16,128,104,3365,15.38%,3.8%,2.41,5.99
Statele Unite,10,44,314,36819,3.18%,0.12%,7.94,6.14
Belgia,10,63,77,1734,12.99%,3.63%,3.22,6.28
Ungaria,10,44,49,1602,20.41%,2.75%,8.49,6.52
Republica Moldova,9,63,196,2886,4.59%,2.18%,11.64,7.04
Danemarca,8,12,23,581,34.78%,2.07%,3.22,6.22
Bulgaria,7,52,39,1507,17.95%,3.45%,2.26,7.36
Polonia,7,28,29,845,24.14%,3.31%,5.31,7.56
Turcia,6,24,62,1613,9.68%,1.49%,43.34,8.41
Serbia,6,15,15,680,40%,2.21%,1.93,6.6
Elveția,5,36,22,846,22.73%,4.26%,2.91,6.29
Norvegia,5,14,13,401,38.46%,3.49%,2,6.28
Croația,5,6,9,274,55.56%,2.19%,1.78,6.24
Irlanda,4,35,31,970,12.9%,3.61%,2.35,6.2
Suedia,2,17,16,520,12.5%,3.27%,4.12,6.69
Portugalia,2,10,12,318,16.67%,3.14%,2.33,6.75
Israel,2,12,12,279,16.67%,4.3%,8.42,7.49
Nigeria,2,0,9,91,22.22%,0%,1.11,5.84
Bosnia și Herțegovina,2,2,5,66,40%,3.03%,4,6.88
Tunisia,2,0,5,86,40%,0%,7.2,6.85
Canada,1,31,31,947,3.23%,3.27%,3.84,6.19
Maroc,1,0,21,192,4.76%,0%,57.05,14.17
Cehia,1,13,11,439,9.09%,2.96%,3.36,6.39
Cipru,1,9,10,262,10%,3.44%,2.8,5.92
Siria,1,0,6,8,16.67%,0%,2.67,13.5
Congo – Brazzaville,1,0,4,6,25%,0%,1.75,5.33
Luxemburg,1,8,4,157,25%,5.1%,3.5,7.01
Iran,1,1,3,22,33.33%,4.55%,2,6.55
Peru,1,0,3,30,33.33%,0%,4,6.27
Slovenia,1,5,2,97,50%,5.15%,3,7.39
Albania,1,2,1,160,100%,1.25%,1,6.19
India,0,0,70,662,0%,0%,64.7,15.9
Filipine,0,1,56,425,0%,0.24%,71.18,20.76
Vietnam,0,1,48,343,0%,0.29%,67.54,13.41
Mexic,0,1,26,186,0%,0.54%,64.77,13.53
Indonezia,0,0,25,364,0%,0%,71.8,17.03
Bangladesh,0,0,24,190,0%,0%,67.42,13.37
Thailanda,0,0,20,257,0%,0%,59.8,16.33
Algeria,0,0,19,121,0%,0%,65.21,13.42
Malaezia,0,0,19,206,0%,0%,66.63,17.33
Rusia,0,5,17,305,0%,1.64%,26.06,11.64
Ucraina,0,4,16,531,0%,0.75%,32.81,9.3
Iordania,0,1,14,105,0%,0.95%,60.43,18.7
Brazilia,0,0,13,269,0%,0%,4.69,6.72
Emiratele Arabe Unite,0,3,6,2201,0%,0.14%,15.17,5.31
Coreea de Sud,0,0,5,164,0%,0%,1.2,6.04
Japonia,0,2,5,159,0%,1.26%,2.2,6.29
Pakistan,0,1,5,92,0%,1.09%,50.2,13.54
Malta,0,2,4,90,0%,2.22%,2,6.17
Finlanda,0,3,4,122,0%,2.46%,3.75,5.97
Argentina,0,0,4,63,0%,0%,4.75,7.52
Arabia Saudită,0,2,4,245,0%,0.82%,54.5,10.55
Muntenegru,0,4,3,104,0%,3.85%,2,6.63
Australia,0,3,3,165,0%,1.82%,4.33,8.22
Lituania,0,2,3,42,0%,4.76%,18,9.88
Bolivia,0,0,3,3,0%,0%,24.33,6.67
Egipt,0,1,2,268,0%,0.37%,2,6.57
Gibraltar,0,1,2,12,0%,8.33%,2,5.92
Noua Zeelandă,0,0,2,18,0%,0%,2,5.72
Panama,0,0,2,8,0%,0%,2.5,8
China,0,0,2,86,0%,0%,5.5,6.13
Libia,0,0,2,24,0%,0%,25,5.29
Georgia,0,2,1,35,0%,5.71%,1,6.29
Slovacia,0,2,1,143,0%,1.4%,1,6.62
Taiwan,0,2,1,70,0%,2.86%,1,5.43
Belarus,0,0,1,18,0%,0%,2,7.5
Republica Dominicană,0,0,1,28,0%,0%,2,5.5
Islanda,0,3,1,33,0%,9.09%,2,6.94
Macedonia,0,4,1,104,0%,3.85%,2,5.38
Uzbekistan,0,0,1,33,0%,0%,2,6.73
Uruguay,0,0,1,6,0%,0%,3,11.33
Venezuela,0,0,1,10,0%,0%,4,7.7
Bermude,0,0,1,2,0%,0%,28,5.5
Liban,0,0,1,26,0%,0%,36,6.54
Irak,0,0,1,93,0%,0%,57,8.85
Africa de Sud,0,1,1,66,0%,1.52%,68,5.62
Singapore,0,2,0,57,0%,3.51%,0,5.61
Kazahstan,0,2,0,30,0%,6.67%,0,6
Sri Lanka,0,2,0,22,0%,9.09%,0,5.55
Saint Vincent și Grenadinele,0,2,0,6,0%,33.33%,0,2.17
Polinezia Franceză,0,2,0,5,0%,40%,0,3.4
Madagascar,0,2,0,4,0%,50%,0,3.75
Cuba,0,2,0,4,0%,50%,0,8.5
Letonia,0,1,0,45,0%,2.22%,0,10.27
Kenya,0,1,0,40,0%,2.5%,0,5.7
Qatar,0,1,0,35,0%,2.86%,0,5.91
Palestina,0,1,0,26,0%,3.85%,0,5.88
Jersey,0,1,0,20,0%,5%,0,5.6
Armenia,0,1,0,16,0%,6.25%,0,6.38
Trinidad și Tobago,0,1,0,9,0%,11.11%,0,5.22
San Marino,0,1,0,9,0%,11.11%,0,6.22
Republica Centrafricană,0,1,0,9,0%,11.11%,0,6.78
Sudanul de Sud,0,1,0,4,0%,25%,0,4.75
Hong Kong,0,0,0,245,0%,0%,0,5.81
Azerbaidjan,0,0,0,64,0%,0%,0,5.52
Columbia,0,0,0,63,0%,0%,0,5.32
Kosovo,0,0,0,42,0%,0%,0,7.05
Chile,0,0,0,40,0%,0%,0,7.2
Ecuador,0,0,0,26,0%,0%,0,8.77
Kuweit,0,0,0,24,0%,0%,0,7.12
Tanzania,0,0,0,22,0%,0%,0,6.5
Nepal,0,0,0,19,0%,0%,0,5.53
Oman,0,0,0,17,0%,0%,0,6.41
Estonia,0,0,0,17,0%,0%,0,6.53
Ghana,0,0,0,17,0%,0%,0,7.18
Laos,0,0,0,15,0%,0%,0,4.93
Mauritius,0,0,0,14,0%,0%,0,6.5
Congo – Kinshasa,0,0,0,11,0%,0%,0,7.09
Bahrain,0,0,0,11,0%,0%,0,9.73
Cambodgia,0,0,0,10,0%,0%,0,5.6
Angola,0,0,0,10,0%,0%,0,6.9
Côte d’Ivoire,0,0,0,10,0%,0%,0,7.3
Etiopia,0,0,0,10,0%,0%,0,8.3
Guatemala,0,0,0,10,0%,0%,0,8.9
Regiune necunoscută,0,0,0,10,0%,0%,0,9.1
Burkina Faso,0,0,0,9,0%,0%,0,4.89
Andorra,0,0,0,9,0%,0%,0,7.11
Benin,0,0,0,9,0%,0%,0,37.78
Insulele Feroe,0,0,0,8,0%,0%,0,3.62
Bahamas,0,0,0,8,0%,0%,0,4.12
Monaco,0,0,0,8,0%,0%,0,4.38
Porto Rico,0,0,0,8,0%,0%,0,5.88
Jamaica,0,0,0,8,0%,0%,0,6.5
Uganda,0,0,0,8,0%,0%,0,7.62
Costa Rica,0,0,0,8,0%,0%,0,7.75
Senegal,0,0,0,8,0%,0%,0,9.25
Mozambic,0,0,0,7,0%,0%,0,6
Afganistan,0,0,0,6,0%,0%,0,5.83
Mongolia,0,0,0,6,0%,0%,0,5.83
Paraguay,0,0,0,6,0%,0%,0,5.83
Somalia,0,0,0,6,0%,0%,0,6.17
Belize,0,0,0,6,0%,0%,0,6.5
Zimbabwe,0,0,0,6,0%,0%,0,6.67
El Salvador,0,0,0,6,0%,0%,0,9.67
Zambia,0,0,0,5,0%,0%,0,3.8
Honduras,0,0,0,5,0%,0%,0,4.8
Myanmar (Burma),0,0,0,5,0%,0%,0,5.6
Maldive,0,0,0,4,0%,0%,0,4
Brunei,0,0,0,4,0%,0%,0,5.75
Camerun,0,0,0,4,0%,0%,0,6
Togo,0,0,0,4,0%,0%,0,8
Haiti,0,0,0,4,0%,0%,0,8.5
Guadelupa,0,0,0,4,0%,0%,0,14.75
Nicaragua,0,0,0,3,0%,0%,0,4.67
Barbados,0,0,0,3,0%,0%,0,5.33
Insulele Aland,0,0,0,3,0%,0%,0,6
Insula Man,0,0,0,3,0%,0%,0,6.33
Sint-Maarten,0,0,0,3,0%,0%,0,7
Rwanda,0,0,0,3,0%,0%,0,7.33
Yemen,0,0,0,3,0%,0%,0,8.67
Gabon,0,0,0,3,0%,0%,0,14
Sierra Leone,0,0,0,2,0%,0%,0,4
Swaziland,0,0,0,2,0%,0%,0,5
Guernsey,0,0,0,2,0%,0%,0,5.5
Réunion,0,0,0,2,0%,0%,0,5.5
Aruba,0,0,0,2,0%,0%,0,6
Guineea,0,0,0,2,0%,0%,0,8
Namibia,0,0,0,2,0%,0%,0,8
Seychelles,0,0,0,2,0%,0%,0,8.5
Martinica,0,0,0,2,0%,0%,0,10.5
Djibouti,0,0,0,1,0%,0%,0,1
Guyana,0,0,0,1,0%,0%,0,1
Curaçao,0,0,0,1,0%,0%,0,2
Grenada,0,0,0,1,0%,0%,0,2
Ciad,0,0,0,1,0%,0%,0,3
Lesotho,0,0,0,1,0%,0%,0,4
Tadjikistan,0,0,0,1,0%,0%,0,4
Capul Verde,0,0,0,1,0%,0%,0,5
Turkmenistan,0,0,0,1,0%,0%,0,5
Botswana,0,0,0,1,0%,0%,0,6
St. Lucia,0,0,0,1,0%,0%,0,8
Burundi,0,0,0,1,0%,0%,0,9
Liechtenstein,0,0,0,1,0%,0%,0,9
Macau,0,0,0,1,0%,0%,0,10
Niger,0,0,0,1,0%,0%,0,10
Vanuatu,0,0,0,1,0%,0%,0,10
Saint-Martin,0,0,0,1,0%,0%,0,25
Kârgâzstan,0,0,0,1,0%,0%,0,32
