Data,Clicuri,Expuneri,CTR,Poziție
2026-06-07,1875,43035,4.36%,5.1
2026-06-08,2432,67710,3.59%,5
2026-06-09,2468,66362,3.72%,5
2026-06-10,2292,66862,3.43%,4.9
2026-06-11,2140,60366,3.55%,5.1
2026-06-12,1860,52866,3.52%,5.1
2026-06-13,1289,30934,4.17%,5.1
2026-06-14,1653,41760,3.96%,5.2
2026-06-15,2264,64930,3.49%,5.1
2026-06-16,2167,61052,3.55%,5.1
2026-06-17,1967,63935,3.08%,5.5
2026-06-18,1997,59744,3.34%,5.2
2026-06-19,1688,49831,3.39%,5.2
2026-06-20,1167,29319,3.98%,5.4
2026-06-21,1493,37350,4%,5.2
2026-06-22,2123,60597,3.5%,5.2
2026-06-23,2080,59762,3.48%,5
2026-06-24,2091,60086,3.48%,5.1
2026-06-25,2324,63466,3.66%,5.1
2026-06-26,1815,53833,3.37%,5.1
2026-06-27,1585,30987,5.12%,4.9
2026-06-28,2400,45290,5.3%,4.8
2026-06-29,3136,70389,4.46%,4.8
2026-06-30,2384,70780,3.37%,4.9
2026-07-01,2306,70862,3.25%,5.1
2026-07-02,2147,65417,3.28%,5.1
2026-07-03,1809,54068,3.35%,5
2026-07-04,1407,33628,4.18%,5
2026-07-05,1858,40767,4.56%,5.1
2026-07-06,2187,64993,3.36%,5.1
2026-07-07,2558,65935,3.88%,4.9
2026-07-08,3002,74494,4.03%,4.9
2026-07-09,2512,73809,3.4%,5.2
2026-07-10,2200,63573,3.46%,5.3
2026-07-11,1483,36546,4.06%,5.5
2026-07-12,1662,44538,3.73%,5.6
2026-07-13,2334,68131,3.43%,5.5
2026-07-14,2052,63253,3.24%,6
2026-07-15,2186,65071,3.36%,5.7
2026-07-16,2117,63813,3.32%,5.8
2026-07-17,1949,58780,3.32%,5.7
2026-07-18,1373,37142,3.7%,5.5
2026-07-19,1745,49290,3.54%,5.9
2026-07-20,2498,80210,3.11%,5.5
2026-07-21,2420,76773,3.15%,5.5
2026-07-22,2654,84106,3.16%,5.4
2026-07-23,2660,83107,3.2%,5.5
2026-07-24,1847,66737,2.77%,5.8
2026-07-25,1189,40703,2.92%,5.8
2026-07-26,1723,55882,3.08%,5.7
2026-07-27,2591,98319,2.64%,5.7
2026-07-28,2346,90397,2.6%,5.8
2026-07-29,2174,86756,2.51%,5.9
2026-07-30,2832,103566,2.73%,6
2026-07-31,2795,97954,2.85%,6.2
2026-08-01,1738,56145,3.1%,6.2
2026-08-02,2229,77807,2.86%,6.1
2026-08-03,3353,137629,2.44%,6.3
2026-08-04,3534,143810,2.46%,6.1
2026-08-05,4228,157905,2.68%,6
2026-08-06,3292,131343,2.51%,6.2
2026-08-07,5122,124774,4.11%,5.9
2026-08-08,1818,62218,2.92%,6.2
2026-08-09,2836,88894,3.19%,6.1
2026-08-10,5067,167468,3.03%,5.9
2026-08-11,4421,174913,2.53%,6.3
2026-08-12,3360,135130,2.49%,6.5
2026-08-13,3027,113762,2.66%,6.7
2026-08-14,2265,89368,2.53%,6.6
2026-08-15,1828,58182,3.14%,6.3
2026-08-16,2548,75511,3.37%,6.3
2026-08-17,3634,126629,2.87%,6.3
2026-08-18,3391,119798,2.83%,6.2
2026-08-19,3457,108807,3.18%,6
2026-08-20,2890,92944,3.11%,6.1
2026-08-21,573,4266,13.43%,5.8
2026-08-22,416,2640,15.76%,7.9
2026-08-23,472,3071,15.37%,6
2026-08-24,691,4312,16.03%,4.9
2026-08-25,731,4546,16.08%,4.4
2026-08-26,682,4328,15.76%,5.3
2026-08-27,635,4160,15.26%,4.4
2026-08-28,460,3648,12.61%,7.8
2026-08-29,431,2950,14.61%,7.6
2026-08-30,593,3419,17.34%,5.9
2026-08-31,772,4994,15.46%,5.7
2026-09-01,843,5101,16.53%,4
2026-09-02,881,5272,16.71%,3.8
2026-09-03,766,5276,14.52%,4.8
2026-09-04,755,4285,17.62%,5.3
2026-09-05,619,3257,19.01%,5.1
2026-09-06,763,3797,20.09%,4.2
