Țara,Clicuri,Expuneri,CTR,Poziție
România,182114,5187280,3.51%,5.64
Germania,1537,51656,2.98%,5.86
Italia,1294,37943,3.41%,6.1
Regatul Unit (United Kingdom),1053,64695,1.63%,5.44
Spania,635,16637,3.82%,6.01
Franța,464,11133,4.17%,8.21
Austria,451,12038,3.75%,5.74
Țările de Jos,313,29966,1.04%,6.2
Republica Moldova,290,13239,2.19%,6.82
Grecia,274,8617,3.18%,5.83
Belgia,242,5947,4.07%,5.76
Ungaria,194,5110,3.8%,6.09
Statele Unite,159,169429,0.09%,5.79
Bulgaria,142,4046,3.51%,6.94
Irlanda,119,3232,3.68%,5.78
Elveția,115,2895,3.97%,5.78
Turcia,89,4955,1.8%,7.51
Polonia,81,3258,2.49%,7.95
Canada,81,3222,2.51%,6.24
Danemarca,76,2137,3.56%,5.75
Suedia,65,1643,3.96%,6.17
Serbia,60,1839,3.26%,6.25
Norvegia,59,1421,4.15%,5.66
Israel,47,957,4.91%,7.22
Cehia,44,1517,2.9%,6.17
Cipru,34,920,3.7%,5.55
Luxemburg,30,536,5.6%,6.45
Ucraina,28,1725,1.62%,7.76
Portugalia,26,1173,2.22%,5.65
Croația,21,750,2.8%,5.94
Slovacia,20,548,3.65%,6.24
Finlanda,17,456,3.73%,5.66
Rusia,13,1083,1.2%,10.49
Australia,13,528,2.46%,7.83
Slovenia,11,329,3.34%,6.21
Islanda,11,189,5.82%,6.26
Egipt,10,1103,0.91%,6.75
Albania,10,522,1.92%,5.58
Emiratele Arabe Unite,8,3330,0.24%,5.46
Maroc,8,869,0.92%,11.64
Bosnia și Herțegovina,8,210,3.81%,5.78
Malta,7,300,2.33%,5.35
Japonia,6,427,1.41%,6.15
Muntenegru,6,243,2.47%,5.81
Arabia Saudită,5,780,0.64%,9.36
Tunisia,5,377,1.33%,6.53
Singapore,5,193,2.59%,6.16
Qatar,5,141,3.55%,5.17
Mexic,4,898,0.45%,13.42
Thailanda,4,669,0.6%,15.58
China,4,412,0.97%,6.49
Macedonia,4,229,1.75%,5.37
Lituania,4,220,1.82%,7.13
Peru,4,173,2.31%,6.24
Iran,4,116,3.45%,5.85
Kazahstan,4,96,4.17%,7.78
Insulele Feroe,4,20,20%,3.85
Brazilia,3,2001,0.15%,7.02
Irak,3,434,0.69%,7.59
Iordania,3,354,0.85%,16.39
Nigeria,3,328,0.91%,5.84
Taiwan,3,192,1.56%,6.16
Letonia,3,120,2.5%,10.57
Kosovo,3,107,2.8%,7.01
Armenia,3,72,4.17%,6.67
Jersey,3,43,6.98%,5.47
Polinezia Franceză,3,13,23.08%,4
India,2,1786,0.11%,14.51
Filipine,2,1009,0.2%,21.71
Indonezia,2,952,0.21%,16.58
Hong Kong,2,588,0.34%,6.05
Malaezia,2,524,0.38%,17.1
Pakistan,2,487,0.41%,12.52
Georgia,2,146,1.37%,6.16
Estonia,2,86,2.33%,6.67
Angola,2,61,3.28%,5.93
Senegal,2,52,3.85%,9.02
Sri Lanka,2,50,4%,5.54
Siria,2,46,4.35%,7.2
Madagascar,2,26,7.69%,4.38
Cuba,2,13,15.38%,6.77
Saint Vincent și Grenadinele,2,8,25%,5.25
Vietnam,1,1699,0.06%,16.97
Coreea de Sud,1,466,0.21%,6.19
Argentina,1,423,0.24%,6.82
Azerbaidjan,1,296,0.34%,5.12
Africa de Sud,1,292,0.34%,6.86
Chile,1,208,0.48%,6.78
Ecuador,1,207,0.48%,7.83
Kenya,1,161,0.62%,7.27
Venezuela,1,152,0.66%,7.1
Palestina,1,138,0.72%,6.04
Kuweit,1,94,1.06%,6.48
Bahrain,1,73,1.37%,7.58
Noua Zeelandă,1,69,1.45%,7.28
Paraguay,1,63,1.59%,6.17
Trinidad și Tobago,1,58,1.72%,5.66
Costa Rica,1,53,1.89%,6.23
Panama,1,46,2.17%,7.28
Zimbabwe,1,34,2.94%,6.68
Gibraltar,1,27,3.7%,5.48
San Marino,1,24,4.17%,6.88
Congo – Brazzaville,1,23,4.35%,6.48
Monaco,1,22,4.55%,4.55
Republica Centrafricană,1,17,5.88%,6
Bermude,1,15,6.67%,6.2
Capul Verde,1,11,9.09%,4.45
Sudanul de Sud,1,9,11.11%,6.44
Bangladesh,0,522,0%,16.15
Algeria,0,506,0%,12.8
Columbia,0,429,0%,7.53
Uzbekistan,0,193,0%,5.27
Belarus,0,117,0%,5.97
Liban,0,113,0%,6.3
Oman,0,103,0%,6.84
Republica Dominicană,0,79,0%,6.52
Jamaica,0,73,0%,6.52
Regiune necunoscută,0,70,0%,10.91
Libia,0,69,0%,7.25
Etiopia,0,65,0%,6.62
Tanzania,0,64,0%,5.12
Ghana,0,61,0%,9.05
Nepal,0,53,0%,5.7
Côte d’Ivoire,0,51,0%,8.84
Congo – Kinshasa,0,48,0%,5.21
Uruguay,0,46,0%,6.96
Bolivia,0,44,0%,7.14
Laos,0,42,0%,4.95
Porto Rico,0,39,0%,5.77
Uganda,0,37,0%,6.08
Afganistan,0,35,0%,4.71
Burkina Faso,0,35,0%,5.4
Cambodgia,0,35,0%,11.49
Guatemala,0,32,0%,7.81
Mauritius,0,31,0%,6.48
Honduras,0,30,0%,5.6
Bahamas,0,29,0%,5.38
Somalia,0,29,0%,6.93
Camerun,0,23,0%,5.17
Barbados,0,23,0%,5.61
Andorra,0,23,0%,7.26
Yemen,0,22,0%,5.95
Togo,0,22,0%,8.45
Guernsey,0,21,0%,4.86
Benin,0,21,0%,25.19
Nicaragua,0,20,0%,5.25
El Salvador,0,19,0%,7.11
Myanmar (Burma),0,18,0%,6.22
Mongolia,0,18,0%,6.67
Zambia,0,18,0%,14.17
Tadjikistan,0,17,0%,4.71
Mozambic,0,16,0%,5.38
Kârgâzstan,0,15,0%,7.47
Rwanda,0,14,0%,6.07
Curaçao,0,13,0%,5.85
Mali,0,12,0%,5.17
Belize,0,12,0%,7.25
Guyana,0,12,0%,9.67
Macau,0,11,0%,5.18
Gabon,0,11,0%,8
Maldive,0,10,0%,5.6
Brunei,0,9,0%,6
Guineea,0,9,0%,6.56
Aruba,0,8,0%,4.38
Namibia,0,8,0%,5.38
Haiti,0,8,0%,17.88
Réunion,0,7,0%,5.57
Sudan,0,7,0%,5.57
Insula Man,0,7,0%,6
Guadelupa,0,7,0%,12.71
Liechtenstein,0,6,0%,12.67
Groenlanda,0,5,0%,5.4
Mauritania,0,5,0%,5.4
Ciad,0,5,0%,6
Insulele Aland,0,5,0%,6.2
Djibouti,0,5,0%,6.2
Svalbard și Jan Mayen,0,5,0%,7.4
Martinica,0,5,0%,7.8
Noua Caledonie,0,4,0%,3.25
St. Lucia,0,4,0%,4
Bhutan,0,4,0%,5
Botswana,0,4,0%,5
Burundi,0,4,0%,5.5
Sierra Leone,0,4,0%,5.5
Swaziland,0,4,0%,5.5
Niger,0,4,0%,5.75
Insulele Cayman,0,4,0%,6
Sint-Maarten,0,4,0%,6.25
Turkmenistan,0,3,0%,3.33
Antilele Neerlandeze,0,3,0%,5
Surinam,0,3,0%,5.33
Seychelles,0,3,0%,6.33
Papua Noua Guinee,0,3,0%,6.67
Sahara de Vest,0,3,0%,7.33
Gambia,0,3,0%,8
Guiana Franceză,0,3,0%,10
Saint Kitts și Nevis,0,2,0%,1.5
Grenada,0,2,0%,4
Fiji,0,2,0%,5
Mayotte,0,2,0%,6
Malawi,0,2,0%,7
Dominica,0,2,0%,8.5
Antigua și Barbuda,0,1,0%,2
Samoa,0,1,0%,2
Lesotho,0,1,0%,4
Insulele Turks și Caicos,0,1,0%,4
Guineea Ecuatorială,0,1,0%,5
Comore,0,1,0%,7
Liberia,0,1,0%,7
Guam,0,1,0%,8
Insulele Cook,0,1,0%,10
Tonga,0,1,0%,10
Vanuatu,0,1,0%,10
Saint-Martin,0,1,0%,25
