date,pages,flag,breakdown,routes
2025-12-16,1,,homepage:1,/
2026-01-05,3,DUMP,service page:3,/servicii/cazier-judiciar-online /servicii/cazier-judiciar-online/persoana-fizica /servicii/cazier-judiciar-online/persoana-juridica
2026-04-17,1,,hub/index:1,/servicii
2026-06-13,1,,service page:1,/servicii/extras-de-carte-funciara
2026-06-14,8,DUMP,service page:7; calculator/tool:1,/servicii/cazier-auto-online /servicii/cazier-fiscal-online /servicii/certificat-constatator-online /servicii/certificat-de-integritate-comportamentala /servicii/eliberare-certificat-de-casatorie /servicii/eliberare-certificat-de-celibat /servicii/eliberare-certificat-de-nastere /tools/verificare-rovinieta-online
2026-06-16,22,DUMP,article/guide:15; hub/index:1; legal/trust:4; service page:2,/amenda-rovinieta-2025-tarife-plata-online-ghid-complet /anii-lucrati-in-strainatate-se-pun-la-pensie-in-romania /blog /cazier-judiciar-vs-certificat-integritate-comportamentala /cele-4-tipuri-de-certificat-constatator-online /cum-aflam-numarul-carte-functionara-si-nr-cadastral /cum-vor-arata-documentele-de-stare-civila-2025 /eliberare-certificat-constatator-onrc-ghid /extras-de-carte-funciara-pentru-casa-verde /gdpr /ghid-complet-certificat-de-integritate-comportamentala /informatii-cazier-auto-online /politica-cookies /politica-de-confidentialitate /rolul-si-atributiile-onrc-romania /servicii/extras-plan-cadastral /servicii/identificare-imobil /tabel-varsta-pensionare-anticipata-femei /taxa-cazier-judiciar /termeni-si-conditii /totul-despre-cartea-funciara-colectiva /valabilitate-extras-de-carte-funciara
2026-06-19,4,DUMP,article/guide:4,/acte-necesare-certificat-de-nastere /certificat-de-nastere-pierdut /schimbare-certificat-de-nastere-vechi /transcriere-certificat-de-casatorie
2026-06-20,6,DUMP,article/guide:1; location: cazier oraș:5,/model-certificat-de-casatorie /servicii/cazier-judiciar-online/brasov /servicii/cazier-judiciar-online/cluj-napoca /servicii/cazier-judiciar-online/constanta /servicii/cazier-judiciar-online/iasi /servicii/cazier-judiciar-online/timisoara
2026-06-21,48,DUMP,hub/index:1; calculator/tool:15; location: cazier oraș:32,/calculator /calculator/amenda-circulatie /calculator/calculator-impozit-auto /calculator/calculator-indemnizatie-crestere-copil /calculator/calculator-procente /calculator/concediu-medical /calculator/contributii-pfa /calculator/impozit-chirie /calculator/indemnizatie-somaj /calculator/penalitati-anaf /calculator/reabilitare /calculator/salariu /calculator/taxa-judiciara-de-timbru /calculator/tva /calculator/vechime-in-munca /calculator/zile-concediu-odihna /servicii/cazier-judiciar-online/alba-iulia /servicii/cazier-judiciar-online/alexandria /servicii/cazier-judiciar-online/arad /servicii/cazier-judiciar-online/bacau /servicii/cazier-judiciar-online/baia-mare /servicii/cazier-judiciar-online/bistrita /servicii/cazier-judiciar-online/botosani /servicii/cazier-judiciar-online/braila /servicii/cazier-judiciar-online/bucuresti /servicii/cazier-judiciar-online/buzau /servicii/cazier-judiciar-online/calarasi /servicii/cazier-judiciar-online/craiova /servicii/cazier-judiciar-online/deva /servicii/cazier-judiciar-online/drobeta-turnu-severin /servicii/cazier-judiciar-online/focsani /servicii/cazier-judiciar-online/galati /servicii/cazier-judiciar-online/giurgiu /servicii/cazier-judiciar-online/miercurea-ciuc /servicii/cazier-judiciar-online/oradea /servicii/cazier-judiciar-online/pitesti /servicii/cazier-judiciar-online/ploiesti /servicii/cazier-judiciar-online/ramnicu-valcea /servicii/cazier-judiciar-online/resita /servicii/cazier-judiciar-online/sfantu-gheorghe /servicii/cazier-judiciar-online/sibiu /servicii/cazier-judiciar-online/slobozia /servicii/cazier-judiciar-online/suceava /servicii/cazier-judiciar-online/targoviste /servicii/cazier-judiciar-online/targu-mures /servicii/cazier-judiciar-online/tulcea /servicii/cazier-judiciar-online/vaslui /servicii/cazier-judiciar-online/zalau
2026-06-22,92,DUMP,article/guide:12; calculator/tool:22; legal/trust:1; location: cazier oraș:11; location: CF județ:42; service page:3; hub/index:1,/acte-necesare-casatorie /calculator/calculator-data /calculator/concediu-maternitate /calculator/concediu-paternal /calculator/credit-ipotecar /calculator/diurna /calculator/dividende /calculator/dobanda-legala /calculator/estimare-pensie /calculator/grad-indatorare /calculator/impozit-casa /calculator/impozit-pensie /calculator/inflatie /calculator/pensie-alimentara /calculator/pensie-invaliditate /calculator/rambursare-anticipata /calculator/spor-salarial /calculator/taxe-notariale /calculator/taxe-srl /calculator/termene-judiciare /calculator/varsta-pensionare /calculator/zile-lucratoare /certificat-constatator-pentru-banca /certificat-constatator-pentru-fonduri-europene /certificat-constatator-pentru-licitatie /certificat-constatator-pentru-notar /certificat-de-celibat /certificat-de-celibat-pentru-casatorie-in-strainatate /contact /curs-valutar /duplicat-certificat-de-casatorie /duplicat-certificat-de-nastere /inregistrare-nastere-copil-nou-nascut /servicii/cazier-judiciar-online/barlad /servicii/cazier-judiciar-online/ilfov /servicii/cazier-judiciar-online/lugoj /servicii/cazier-judiciar-online/medias /servicii/cazier-judiciar-online/onesti /servicii/cazier-judiciar-online/piatra-neamt /servicii/cazier-judiciar-online/satu-mare /servicii/cazier-judiciar-online/sebes /servicii/cazier-judiciar-online/slatina /servicii/cazier-judiciar-online/targu-jiu /servicii/cazier-judiciar-online/turda /servicii/extras-de-carte-funciara/alba /servicii/extras-de-carte-funciara/arad /servicii/extras-de-carte-funciara/arges /servicii/extras-de-carte-funciara/bacau /servicii/extras-de-carte-funciara/bihor /servicii/extras-de-carte-funciara/bistrita-nasaud /servicii/extras-de-carte-funciara/botosani /servicii/extras-de-carte-funciara/braila /servicii/extras-de-carte-funciara/brasov /servicii/extras-de-carte-funciara/bucuresti /servicii/extras-de-carte-funciara/buzau /servicii/extras-de-carte-funciara/calarasi /servicii/extras-de-carte-funciara/caras-severin /servicii/extras-de-carte-funciara/cluj /servicii/extras-de-carte-funciara/constanta /servicii/extras-de-carte-funciara/covasna /servicii/extras-de-carte-funciara/dambovita /servicii/extras-de-carte-funciara/dolj /servicii/extras-de-carte-funciara/galati /servicii/extras-de-carte-funciara/giurgiu /servicii/extras-de-carte-funciara/gorj /servicii/extras-de-carte-funciara/harghita /servicii/extras-de-carte-funciara/hunedoara /servicii/extras-de-carte-funciara/ialomita /servicii/extras-de-carte-funciara/iasi /servicii/extras-de-carte-funciara/ilfov /servicii/extras-de-carte-funciara/maramures /servicii/extras-de-carte-funciara/mehedinti /servicii/extras-de-carte-funciara/mures /servicii/extras-de-carte-funciara/neamt /servicii/extras-de-carte-funciara/olt /servicii/extras-de-carte-funciara/prahova /servicii/extras-de-carte-funciara/salaj /servicii/extras-de-carte-funciara/satu-mare /servicii/extras-de-carte-funciara/sibiu /servicii/extras-de-carte-funciara/suceava /servicii/extras-de-carte-funciara/teleorman /servicii/extras-de-carte-funciara/timis /servicii/extras-de-carte-funciara/tulcea /servicii/extras-de-carte-funciara/valcea /servicii/extras-de-carte-funciara/vaslui /servicii/extras-de-carte-funciara/vrancea /servicii/extras-multilingv-certificat-casatorie /servicii/extras-multilingv-certificat-nastere /servicii/rovinieta-online /tools /transcriere-certificat-de-nastere /valabilitate-certificat-de-celibat
