route,class,inSitemap,words,bodyWords,titleLen,descLen,ldTypes,firstCommit,dateSource,datePublishedDeclared,lastCommit,commits,indexable,title
/,homepage,true,2080,2626,54,181,Organization|ImageObject|PostalAddress|Country|ContactPoint|WebSite|WebPage|ItemList|ListItem|FAQPage|Question|Answer,2025-12-16,page.tsx add,,2026-06-23,11,,"eGhișeul.ro — Documente Online: Cazier, Carte Funciară"
/acte-necesare-casatorie,article/guide,true,1375,1720,71,223,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|Article|WebPage|FAQPage|Question|Answer,2026-06-22,page.tsx add,2026-06-22,2026-06-22,1,,Acte Necesare Căsătorie: Dosarul Complet la Starea Civilă | eGhiseul.ro
/acte-necesare-certificat-de-nastere,article/guide,true,714,1059,77,134,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|Article|WebPage|FAQPage|Question|Answer,2026-06-19,page.tsx add,2026-06-19,2026-08-07,7,,Acte Necesare Certificat de Naștere: Listă Completă pe Situații | eGhiseul.ro
/amenda-rovinieta-2025-tarife-plata-online-ghid-complet,article/guide,true,849,1194,72,183,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|Article|WebPage|FAQPage|Question|Answer,2026-06-16,page.tsx add,2025-01-01,2026-07-31,5,,"Amendă Rovinietă 2026: Tarife, Plată Online și Contestație | eGhiseul.ro"
/ancpi-nu-functioneaza,article/guide,true,5827,6172,65,350,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|Article|WebPage|FAQPage|Question|Answer,2026-07-15,page.tsx add,2026-07-15,2026-08-21,23,,ANCPI / Cadastru: ce funcționează azi — status live | eGhiseul.ro
/anii-lucrati-in-strainatate-se-pun-la-pensie-in-romania,article/guide,true,1049,1394,70,201,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|Article|WebPage|FAQPage|Question|Answer,2026-06-16,page.tsx add,2024-01-01,2026-08-28,4,,Anii lucrați în străinătate se pun la pensie în România? | eGhiseul.ro
/apostila-de-la-haga-ghid-acte-obtinere,article/guide,true,1194,1539,89,194,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|Article|WebPage|FAQPage|Question|Answer,2026-07-31,page.tsx add,2026-07-31,2026-07-31,2,,"Apostila de la Haga: pe ce acte se aplică, unde o obții și cât costă (2026) | eGhiseul.ro"
/blog,hub/index,true,1886,2231,54,173,,2026-06-16,page.tsx add,,2026-08-07,5,,Blog — Informații utile despre documente | eGhiseul.ro
/calculator,hub/index,true,521,866,61,145,,2026-06-21,page.tsx add,,2026-07-14,18,,Calculatoare Online Gratuite 2026 — eGhișeul.ro | eGhiseul.ro
/calculator/amenda-circulatie,calculator/tool,true,1472,1817,70,120,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-06-21,page.tsx add,,2026-06-22,6,,Calculator Amendă Circulație 2026 + Puncte de Penalizare | eGhiseul.ro
/calculator/calculator-data,calculator/tool,true,1459,1804,52,131,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-06-22,page.tsx add,,2026-06-22,3,,Calculator Dată — Adună sau Scade Zile | eGhiseul.ro
/calculator/calculator-impozit-auto,calculator/tool,true,1082,1427,59,126,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-06-21,page.tsx add,,2026-06-22,5,,Calculator Impozit Auto 2026 — Taxa pe Mașină | eGhiseul.ro
/calculator/calculator-indemnizatie-crestere-copil,calculator/tool,true,1820,2165,63,140,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-06-21,page.tsx add,,2026-07-31,7,,Calculator Indemnizație Creștere Copil 2026 (ICC) | eGhiseul.ro
/calculator/calculator-procente,calculator/tool,true,1481,1826,57,122,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-06-21,page.tsx add,,2026-06-23,7,,Calculator Procente Online — Cât e X% din Y | eGhiseul.ro
/calculator/cat-pot-construi,calculator/tool,true,1363,1708,62,169,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-07-14,page.tsx add,,2026-07-14,2,,Cât Pot Construi pe Teren? Calculator POT și CUT | eGhiseul.ro
/calculator/concediu-maternitate,calculator/tool,true,1335,1680,65,150,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-06-22,page.tsx add,,2026-06-22,3,,Calculator Concediu Maternitate 2026 — Indemnizație | eGhiseul.ro
/calculator/concediu-medical,calculator/tool,true,1534,1879,61,117,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-06-21,page.tsx add,,2026-06-22,6,,Calculator Concediu Medical 2026 — Indemnizație | eGhiseul.ro
/calculator/concediu-paternal,calculator/tool,true,1336,1681,47,146,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-06-22,page.tsx add,,2026-06-22,3,,Calculator Concediu Paternal 2026 | eGhiseul.ro
/calculator/contributii-pfa,calculator/tool,true,1550,1895,66,125,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-06-21,page.tsx add,,2026-06-22,6,,"Calculator Contribuții PFA 2026 (CAS, CASS, Impozit) | eGhiseul.ro"
/calculator/cost-cadastru-intabulare,calculator/tool,true,1462,1807,65,188,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-07-14,page.tsx add,,2026-07-14,1,,Cât Costă Cadastrul și Intabularea? Calculator 2026 | eGhiseul.ro
/calculator/credit-ipotecar,calculator/tool,true,1265,1610,59,146,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-06-22,page.tsx add,,2026-06-22,3,,Calculator Credit Ipotecar 2026 — Rata Lunară | eGhiseul.ro
/calculator/diurna,calculator/tool,true,1287,1632,67,139,Organization|PostalAddress|ContactPoint|WebSite|BreadcrumbList|ListItem|WebApplication|Offer|WebPage|FAQPage|Question|Answer,2026-06-22,page.tsx add,,2026-06-22,4,,Calculator Diurnă 2026 — Plafon Neimpozabil Delegație | eGhiseul.ro
