jaccard,a,b,classA,classB
0.7507,/servicii/extras-multilingv-certificat-casatorie,/servicii/extras-multilingv-certificat-nastere,service page,service page
0.7306,/servicii/cazier-judiciar-online/barlad,/servicii/cazier-judiciar-online/sebes,location: cazier oraș,location: cazier oraș
0.7292,/servicii/cazier-judiciar-online/barlad,/servicii/cazier-judiciar-online/lugoj,location: cazier oraș,location: cazier oraș
0.7268,/servicii/cazier-judiciar-online/lugoj,/servicii/cazier-judiciar-online/turda,location: cazier oraș,location: cazier oraș
0.7251,/servicii/cazier-judiciar-online/lugoj,/servicii/cazier-judiciar-online/onesti,location: cazier oraș,location: cazier oraș
0.723,/servicii/cazier-judiciar-online/barlad,/servicii/cazier-judiciar-online/turda,location: cazier oraș,location: cazier oraș
0.7228,/servicii/cazier-judiciar-online/lugoj,/servicii/cazier-judiciar-online/sebes,location: cazier oraș,location: cazier oraș
0.7224,/servicii/cazier-judiciar-online/barlad,/servicii/cazier-judiciar-online/onesti,location: cazier oraș,location: cazier oraș
0.7208,/servicii/cazier-judiciar-online/barlad,/servicii/cazier-judiciar-online/medias,location: cazier oraș,location: cazier oraș
0.719,/servicii/cazier-judiciar-online/sebes,/servicii/cazier-judiciar-online/turda,location: cazier oraș,location: cazier oraș
0.7184,/servicii/cazier-judiciar-online/onesti,/servicii/cazier-judiciar-online/sebes,location: cazier oraș,location: cazier oraș
0.7165,/servicii/cazier-judiciar-online/lugoj,/servicii/cazier-judiciar-online/medias,location: cazier oraș,location: cazier oraș
0.7156,/servicii/cazier-judiciar-online/medias,/servicii/cazier-judiciar-online/sebes,location: cazier oraș,location: cazier oraș
0.715,/servicii/cazier-judiciar-online/medias,/servicii/cazier-judiciar-online/turda,location: cazier oraș,location: cazier oraș
0.7143,/servicii/cazier-judiciar-online/onesti,/servicii/cazier-judiciar-online/turda,location: cazier oraș,location: cazier oraș
0.713,/servicii/extras-de-carte-funciara/alba,/servicii/extras-de-carte-funciara/arad,location: CF județ,location: CF județ
0.7121,/servicii/cazier-judiciar-online/medias,/servicii/cazier-judiciar-online/onesti,location: cazier oraș,location: cazier oraș
0.7121,/servicii/extras-de-carte-funciara/covasna,/servicii/extras-de-carte-funciara/dambovita,location: CF județ,location: CF județ
0.7118,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/botosani,location: CF județ,location: CF județ
0.7118,/servicii/extras-de-carte-funciara/tulcea,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.711,/servicii/extras-de-carte-funciara/olt,/servicii/extras-de-carte-funciara/salaj,location: CF județ,location: CF județ
0.7106,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/braila,location: CF județ,location: CF județ
0.7106,/servicii/extras-de-carte-funciara/teleorman,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.7101,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/harghita,location: CF județ,location: CF județ
0.7094,/servicii/extras-de-carte-funciara/teleorman,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.7088,/servicii/extras-de-carte-funciara/harghita,/servicii/extras-de-carte-funciara/hunedoara,location: CF județ,location: CF județ
0.7081,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/bistrita-nasaud,location: CF județ,location: CF județ
0.7081,/servicii/extras-de-carte-funciara/mehedinti,/servicii/extras-de-carte-funciara/olt,location: CF județ,location: CF județ
0.7077,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/braila,location: CF județ,location: CF județ
0.7076,/servicii/extras-de-carte-funciara/valcea,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
