set,route,words,uniqSent,uniqWords,uniqPct
cazier-oras,/servicii/cazier-judiciar-online/lugoj,1302,19,690,53
cazier-oras,/servicii/cazier-judiciar-online/onesti,1305,19,693,53.1
cazier-oras,/servicii/cazier-judiciar-online/barlad,1307,19,694,53.1
cazier-oras,/servicii/cazier-judiciar-online/medias,1307,19,694,53.1
cazier-oras,/servicii/cazier-judiciar-online/turda,1310,19,697,53.2
cazier-oras,/servicii/cazier-judiciar-online/sebes,1313,19,700,53.3
cazier-oras,/servicii/cazier-judiciar-online/vaslui,1379,21,745,54
cazier-oras,/servicii/cazier-judiciar-online/bacau,1385,21,750,54.2
cazier-oras,/servicii/cazier-judiciar-online/sibiu,1382,22,754,54.6
cazier-oras,/servicii/cazier-judiciar-online/cluj-napoca,1395,22,767,55
cazier-oras,/servicii/cazier-judiciar-online/timisoara,1400,22,767,54.8
cazier-oras,/servicii/cazier-judiciar-online/alba-iulia,1417,21,779,55
cazier-oras,/servicii/cazier-judiciar-online/slobozia,1364,24,791,58
cazier-oras,/servicii/cazier-judiciar-online/focsani,1369,24,795,58.1
cazier-oras,/servicii/cazier-judiciar-online/alexandria,1370,23,796,58.1
cazier-oras,/servicii/cazier-judiciar-online/bistrita,1372,23,798,58.2
cazier-oras,/servicii/cazier-judiciar-online/resita,1374,23,802,58.4
cazier-oras,/servicii/cazier-judiciar-online/giurgiu,1373,24,805,58.6
cazier-oras,/servicii/cazier-judiciar-online/calarasi,1379,23,806,58.4
cazier-oras,/servicii/cazier-judiciar-online/zalau,1380,23,806,58.4
cazier-oras,/servicii/cazier-judiciar-online/slatina,1384,23,807,58.3
cazier-oras,/servicii/cazier-judiciar-online/braila,1382,23,810,58.6
cazier-oras,/servicii/cazier-judiciar-online/deva,1384,23,810,58.5
cazier-oras,/servicii/cazier-judiciar-online/ploiesti,1383,24,813,58.8
cazier-oras,/servicii/cazier-judiciar-online/botosani,1382,23,814,58.9
cazier-oras,/servicii/cazier-judiciar-online/suceava,1392,23,815,58.5
cazier-oras,/servicii/cazier-judiciar-online/galati,1391,24,816,58.7
cazier-oras,/servicii/cazier-judiciar-online/miercurea-ciuc,1390,23,816,58.7
cazier-oras,/servicii/cazier-judiciar-online/targoviste,1384,23,816,59
cazier-oras,/servicii/cazier-judiciar-online/tulcea,1390,23,818,58.8
cazier-oras,/servicii/cazier-judiciar-online/ramnicu-valcea,1389,23,820,59
cazier-oras,/servicii/cazier-judiciar-online/buzau,1390,24,821,59.1
cazier-oras,/servicii/cazier-judiciar-online/sfantu-gheorghe,1398,24,821,58.7
cazier-oras,/servicii/cazier-judiciar-online/craiova,1399,24,824,58.9
cazier-oras,/servicii/cazier-judiciar-online/ilfov,1403,23,827,58.9
cazier-oras,/servicii/cazier-judiciar-online/arad,1403,24,828,59
cazier-oras,/servicii/cazier-judiciar-online/bucuresti,1375,24,829,60.3
