site,class,url,words,ai_per1k,ai_per1k_nodash,promo,hedging,falseRanges,filler,copula,gerunds,dashes,boldTermLists,h2,robots
EGH,article,https://eghiseul.ro/acte-necesare-casatorie,1375,10.91,3.64,1,2,0,2,0,0,10,0,13,"index, follow"
EGH,article,https://eghiseul.ro/acte-necesare-certificat-de-nastere,714,8.4,1.4,0,0,1,0,0,0,5,0,8,"index, follow"
EGH,article,https://eghiseul.ro/amenda-rovinieta-2025-tarife-plata-online-ghid-complet,849,20.02,2.36,0,1,0,1,0,0,15,7,10,"index, follow"
EGH,article,https://eghiseul.ro/ancpi-nu-functioneaza,5827,15.1,0.86,0,1,0,3,1,0,83,19,13,"index, follow"
EGH,article,https://eghiseul.ro/anii-lucrati-in-strainatate-se-pun-la-pensie-in-romania,1049,0.95,0,0,0,0,0,0,0,1,0,8,"index, follow"
EGH,article,https://eghiseul.ro/apostila-de-la-haga-ghid-acte-obtinere,1194,10.05,0.84,0,1,0,0,0,0,11,0,10,"index, follow"
EGH,hub,https://eghiseul.ro/blog,1886,9.01,0.53,0,0,0,1,0,0,16,0,1,"index, follow"
EGH,hub,https://eghiseul.ro/calculator,521,3.84,0,0,0,0,0,0,0,2,0,4,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/amenda-circulatie,1472,11.55,2.04,0,2,0,1,0,0,14,8,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/calculator-data,1459,6.85,0.69,0,0,0,1,0,0,9,0,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/calculator-impozit-auto,1082,12.94,1.85,0,1,0,1,0,0,12,8,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/calculator-indemnizatie-crestere-copil,1820,9.34,2.2,0,1,0,3,0,0,13,5,13,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/calculator-procente,1481,12.83,0.68,0,0,0,1,0,0,18,10,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/cat-pot-construi,1363,16.87,1.47,0,0,0,2,0,0,21,2,8,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/concediu-maternitate,1335,6.74,1.5,0,1,0,1,0,0,7,3,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/concediu-medical,1534,17.6,3.91,0,3,1,1,1,0,21,16,13,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/concediu-paternal,1336,14.22,1.5,0,1,0,1,0,0,17,10,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/contributii-pfa,1550,9.68,0.65,0,0,0,1,0,0,14,6,11,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/cost-cadastru-intabulare,1462,27.36,1.37,0,0,1,1,0,0,38,0,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/credit-ipotecar,1265,8.7,3.16,0,3,0,1,0,0,7,5,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/diurna,1287,4.66,0.78,0,0,0,1,0,0,5,12,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/dividende,1379,10.15,2.18,1,1,0,1,0,0,11,10,11,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/dobanda-legala,1245,10.44,2.41,0,1,0,1,1,0,10,3,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/estimare-pensie,1171,8.54,1.71,0,0,0,2,0,0,8,0,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/grad-indatorare,1469,4.77,0.68,0,0,0,1,0,0,6,2,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/impozit-casa,1420,27.46,2.11,0,1,1,1,0,0,36,4,11,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/impozit-chirie,1299,9.24,2.31,0,2,0,1,0,0,9,0,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/impozit-pensie,1474,8.14,0.68,0,0,0,1,0,0,11,5,12,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/indemnizatie-somaj,1337,20.94,10.47,0,1,11,1,0,1,14,8,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/inflatie,1473,13.58,1.36,0,1,0,1,0,0,18,0,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/jugar-stanjen-in-mp,1372,15.31,1.46,0,1,0,1,0,0,19,0,7,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/penalitati-anaf,1568,8.29,0.64,0,0,0,1,0,0,12,15,11,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/pensie-alimentara,1214,9.06,0.82,0,0,0,1,0,0,10,10,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/pensie-invaliditate,1224,13.89,1.63,0,0,0,1,0,1,15,10,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/rambursare-anticipata,997,10.03,5.02,0,4,0,1,0,0,5,0,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/reabilitare,1353,19.22,6.65,0,1,7,1,0,0,17,15,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/salariu,1035,15.46,4.83,0,4,0,1,0,0,11,10,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/spor-salarial,1307,11.48,0.77,0,0,0,1,0,0,14,3,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/taxa-judiciara-de-timbru,1451,18.61,2.76,0,3,0,1,0,0,23,13,11,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/taxe-notariale,1376,13.81,2.18,0,2,0,1,0,0,16,8,11,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/taxe-srl,1072,8.4,1.87,0,1,0,1,0,0,7,0,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/termene-judiciare,1297,10.02,1.54,0,1,0,1,0,0,11,0,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/tva,1382,13.75,2.89,0,2,0,2,0,0,15,6,11,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/valabilitate-documente,766,20.89,2.61,0,0,0,2,0,0,14,0,6,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/varsta-pensionare,1222,9.82,3.27,0,3,0,1,0,0,8,0,10,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/vechime-in-munca,1325,6.04,0.75,0,0,0,1,0,0,7,16,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/zile-concediu-odihna,1344,11.16,1.49,1,0,0,1,0,0,13,20,9,"index, follow"
EGH,tool,https://eghiseul.ro/calculator/zile-lucratoare,1203,13.3,1.66,0,1,0,1,0,0,14,0,9,"index, follow"
EGH,article,https://eghiseul.ro/cat-costa-cadastrul-si-intabularea,1577,18.39,0.63,0,0,1,0,0,0,28,4,11,"index, follow"
EGH,article,https://eghiseul.ro/cat-poti-construi-pe-teren,1309,16.81,0.76,0,1,0,0,0,0,21,2,11,"index, follow"
EGH,article,https://eghiseul.ro/cazier-fiscal-fara-spv,1946,4.62,2.57,0,0,3,2,0,0,4,0,11,"index, follow"
EGH,article,https://eghiseul.ro/cazier-fiscal-firma,1982,3.53,2.02,0,1,2,1,0,0,3,0,10,"index, follow"
EGH,article,https://eghiseul.ro/cazier-fiscal-persoana-fizica,1575,8.25,1.9,0,0,2,1,0,0,10,0,10,"index, follow"
EGH,article,https://eghiseul.ro/cazier-judiciar-online-gratuit,1513,8.59,1.98,0,2,0,1,0,0,10,0,9,"index, follow"
EGH,article,https://eghiseul.ro/cazier-judiciar-vs-certificat-integritate-comportamentala,1414,3.54,0.71,1,0,0,0,0,0,4,0,11,"index, follow"
EGH,article,https://eghiseul.ro/cazier-si-certificat-de-integritate-pentru-profesori,1335,15.73,0.75,0,0,0,1,0,0,20,4,11,"index, follow"
EGH,article,https://eghiseul.ro/ce-este-planul-cadastral,626,9.58,1.6,0,0,0,1,0,0,5,0,9,"index, follow"
EGH,article,https://eghiseul.ro/ce-este-un-releveu,704,9.94,1.42,0,1,0,0,0,0,6,0,10,"index, follow"
EGH,article,https://eghiseul.ro/cele-4-tipuri-de-certificat-constatator-online,1269,3.15,2.36,0,3,0,0,0,0,1,0,6,"index, follow"
EGH,article,https://eghiseul.ro/certificat-constatator-cu-istoric,810,3.7,2.47,0,2,0,0,0,0,1,0,7,"index, follow"
EGH,article,https://eghiseul.ro/certificat-constatator-de-baza,989,4.04,3.03,0,3,0,0,0,0,1,0,8,"index, follow"
EGH,article,https://eghiseul.ro/certificat-constatator-insolventa,889,1.12,0,0,0,0,0,0,0,1,0,8,"index, follow"
EGH,article,https://eghiseul.ro/certificat-constatator-pentru-banca,1533,7.18,1.96,1,1,0,1,0,0,8,0,13,"index, follow"
EGH,article,https://eghiseul.ro/certificat-constatator-pentru-fonduri-europene,1391,9.35,2.88,2,2,0,0,0,0,9,0,12,"index, follow"
