tip,n,metrica,min,mediana,max,sd,CV_pct
articol,59,word_count,502.0,1312.0,5940.0,959.31,68.1
articol,59,sentence_count,80.0,191.0,882.0,141.13,65.4
articol,59,avg_words_sentence,5.0,6.54,7.52,0.57,8.8
articol,59,text_ratio,3.65,5.56,11.82,1.53,27.5
articol,59,flesch,14.03,48.77,100.0,12.79,26.6
articol,59,size_bytes,158759.0,193974.0,358199.0,34655.3,17.0
articol,59,outlinks,83.0,88.0,104.0,3.57,4.0
articol,59,unique_outlinks,53.0,56.0,67.0,2.23,4.0
articol,59,unique_inlinks,2.0,4.0,232.0,29.47,359.9
calculator,40,word_count,768.0,1397.5,1881.0,190.82,13.8
calculator,40,sentence_count,118.0,218.5,303.0,38.13,17.2
calculator,40,avg_words_sentence,5.0,6.37,7.39,0.6,9.5
calculator,40,text_ratio,3.84,5.35,6.29,0.44,8.3
calculator,40,flesch,44.81,67.7,87.76,8.71,12.9
calculator,40,size_bytes,198697.0,210103.0,222642.0,6028.95,2.9
calculator,40,outlinks,87.0,89.0,96.0,1.86,2.1
calculator,40,unique_outlinks,53.0,55.0,57.0,0.94,1.7
calculator,40,unique_inlinks,2.0,6.5,232.0,113.48,106.5
hub,4,word_count,166.0,701.5,1953.0,663.62,75.4
hub,4,sentence_count,32.0,200.0,394.0,142.46,69.0
hub,4,avg_words_sentence,2.91,5.01,5.19,0.94,20.7
hub,4,text_ratio,2.0,3.01,3.56,0.65,22.4
hub,4,flesch,41.54,51.98,61.8,8.21,15.8
hub,4,size_bytes,145650.0,287980.0,431896.0,128270.66,44.5
hub,4,outlinks,84.0,129.5,138.0,22.05,18.3
hub,4,unique_outlinks,54.0,82.5,110.0,20.5,24.9
hub,4,unique_inlinks,2.0,232.0,232.0,99.59,57.1
legal,6,word_count,236.0,594.0,1760.0,561.6,72.4
legal,6,sentence_count,49.0,103.0,318.0,98.2,67.1
legal,6,avg_words_sentence,3.47,5.05,6.35,0.87,17.1
legal,6,text_ratio,2.54,4.44,9.1,2.31,45.2
legal,6,flesch,29.09,45.71,69.6,13.33,28.5
legal,6,size_bytes,135820.0,153144.0,167675.0,11116.05,7.3
legal,6,outlinks,82.0,83.5,85.0,0.96,1.1
legal,6,unique_outlinks,53.0,53.0,53.0,0.0,0.0
legal,6,unique_inlinks,232.0,232.0,232.0,0.0,0.0
locatie-cazier,48,word_count,1322.0,1407.5,1443.0,31.75,2.3
locatie-cazier,48,sentence_count,196.0,231.0,240.0,13.2,5.9
locatie-cazier,48,avg_words_sentence,5.91,6.12,6.84,0.27,4.4
locatie-cazier,48,text_ratio,3.52,3.59,3.68,0.03,0.9
locatie-cazier,48,flesch,29.11,36.44,41.2,2.33,6.4
locatie-cazier,48,size_bytes,320701.0,332363.5,333908.0,4083.59,1.2
locatie-cazier,48,outlinks,142.0,142.0,142.0,0.0,0.0
locatie-cazier,48,unique_outlinks,103.0,103.0,103.0,0.0,0.0
locatie-cazier,48,unique_inlinks,49.0,49.0,49.0,0.0,0.0
locatie-cf,42,word_count,772.0,785.0,1002.0,96.66,11.4
locatie-cf,42,sentence_count,142.0,153.5,187.0,16.26,10.2
locatie-cf,42,avg_words_sentence,5.03,5.34,5.72,0.17,3.2
locatie-cf,42,text_ratio,2.99,3.04,3.33,0.12,3.7
locatie-cf,42,flesch,40.18,46.13,49.86,2.6,5.7
locatie-cf,42,size_bytes,254079.0,255773.0,277401.0,10007.28,3.8
locatie-cf,42,outlinks,101.0,101.0,101.0,0.0,0.0
locatie-cf,42,unique_outlinks,67.0,67.0,67.0,0.0,0.0
locatie-cf,42,unique_inlinks,14.0,14.0,14.0,0.0,0.0
serviciu,29,word_count,746.0,2303.0,4793.0,651.51,26.0
serviciu,29,sentence_count,119.0,444.0,879.0,116.41,24.5
serviciu,29,avg_words_sentence,4.95,5.24,6.27,0.24,4.6
serviciu,29,text_ratio,3.26,3.47,4.51,0.27,7.5
serviciu,29,flesch,35.96,43.13,61.1,4.61,10.4
serviciu,29,size_bytes,199708.0,526289.0,770345.0,84156.99,15.8
serviciu,29,outlinks,83.0,91.0,141.0,12.87,13.7
serviciu,29,unique_outlinks,53.0,56.0,104.0,11.93,20.2
serviciu,29,unique_inlinks,3.0,232.0,232.0,105.23,65.2
variant-serviciu,2,word_count,2235.0,2255.0,2275.0,20.0,0.9
variant-serviciu,2,sentence_count,486.0,488.0,490.0,2.0,0.4
variant-serviciu,2,avg_words_sentence,4.56,4.62,4.68,0.06,1.3
variant-serviciu,2,text_ratio,3.02,3.04,3.06,0.02,0.6
variant-serviciu,2,flesch,45.23,46.72,48.2,1.49,3.2
variant-serviciu,2,size_bytes,557883.0,560806.0,563729.0,2923.0,0.5
variant-serviciu,2,outlinks,87.0,88.0,89.0,1.0,1.1
variant-serviciu,2,unique_outlinks,54.0,54.0,54.0,0.0,0.0
variant-serviciu,2,unique_inlinks,232.0,232.0,232.0,0.0,0.0
