situatie,url,gsc_clicuri_3luni,gsc_expuneri_3luni
"in GSC, negasit in crawl",/importanta-extras-de-carte-funciara-colectiva/,19,1215
"in GSC, negasit in crawl",/categorii_servicii/certificate-nastere/,10,239
"in GSC, negasit in crawl",/categorii_servicii/persoane-fizice/,2,232
"in GSC, negasit in crawl",/category/informatii-utile/,1,226
"in GSC, negasit in crawl",/cookies-policy/,1,141
"in GSC, negasit in crawl",/categorii_servicii/certificate-casatorie/,3,88
"in GSC, negasit in crawl",/servicii/asistenta-pentru-obtinere-cazier-online/,1,88
"in GSC, negasit in crawl",/wp-admin/*/,0,65
"in GSC, negasit in crawl",/category/informatii-utile/extras-de-carte-funciara/,0,45
"in GSC, negasit in crawl",/wp-content/uploads/2024/02/Contract-Prestari-Servicii-eGhiseul-1.pdf/,0,25
"in GSC, negasit in crawl",/comanda/cazier-judiciar-persoana-juridica/,0,23
"in GSC, negasit in crawl",/comanda/status/,1,21
"in GSC, negasit in crawl",/category/informatii-utile/cazier-judiciar-online/,0,17
"in GSC, negasit in crawl",/tools/alegeri-prezidentiale-2024-prezenta-la-vot/,0,14
"in GSC, negasit in crawl",/category/informatii-utile/certificat-constatator/,0,11
"in GSC, negasit in crawl",/wp-content/uploads/2024/09/Contract-Prestari-Servicii-eGhiseul-WEBSERV-SOLUTIONS-SRL-SITE.pdf/,0,10
"in GSC, negasit in crawl",/wp-content/uploads/2024/05/Contract-EGHISEUL-TOATE-SERVICIILE-Template.pdf/,0,8
"in GSC, negasit in crawl",/wp-content/uploads/2025/03/Contract-Prestari-Servicii-SITE-INCARCAT.pdf/,2,7
"in GSC, negasit in crawl",/comanda/copie-inventar-coordonate/,1,6
"in GSC, negasit in crawl",/wp-content/uploads/2024/12/Contract-Prestari-Servicii-eGhiseul-RAPIDCERT-SRL.pdf/,0,6
"in GSC, negasit in crawl",/blog/page/2/,0,6
"in GSC, negasit in crawl",/comanda/copie-releveu/,0,5
"in GSC, negasit in crawl",/wp-content/uploads/2025/04/Contract-Prestari-Servicii-SITEV4_compressed.pdf/,0,4
"in GSC, negasit in crawl",/comanda/cazier-auto/,0,4
"in GSC, negasit in crawl",/comanda/extras-carte-funciara/,0,3
"in GSC, negasit in crawl",/categorii_servicii/persoane-fizice/page/2/,0,3
"in GSC, negasit in crawl",/category/informatii-utile/page/2/,0,3
"in GSC, negasit in crawl",/cum-aflam-numarul-carte-functionara-nr-cadastral/,0,2
"in GSC, negasit in crawl",/comanda/actualizare-adresa-cf/,0,1
"in GSC, negasit in crawl",/calculator/impozit-chirie/income-tax/,0,1
"in GSC, negasit in crawl",/comanda/extras-cf-colectiv/,0,1
"in GSC, negasit in crawl",/servicii/extras-carte-funciara/,0,1
"in crawl, 0 date GSC 3 luni",/ancpi-nu-functioneaza/?utm_source=embed&utm_medium=widget&utm_campaign=ancpi-status,0,0
"in crawl, 0 date GSC 3 luni",/cazier-judiciar-online-gratuit/,0,0
"in crawl, 0 date GSC 3 luni",/certificat-constatator-de-baza/,0,0
"in crawl, 0 date GSC 3 luni",/certificat-constatator-insolventa/,0,0
"in crawl, 0 date GSC 3 luni",/certificat-constatator-pfa/,0,0
"in crawl, 0 date GSC 3 luni",/embed/ancpi/,0,0
"in crawl, 0 date GSC 3 luni",/schimbare-sediu-social-srl-ghid/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/alba-iulia/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/alexandria/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/arad/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/bacau/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/baia-mare/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/barlad/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/bistrita/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/botosani/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/braila/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/brasov/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/bucuresti/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/buzau/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/calarasi/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/craiova/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/deva/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/drobeta-turnu-severin/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/galati/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/giurgiu/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/ilfov/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/lugoj/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/medias/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/miercurea-ciuc/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/onesti/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/oradea/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/pitesti/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/ploiesti/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/resita/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/sebes/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/sfantu-gheorghe/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/sibiu/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/slatina/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/slobozia/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/suceava/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/targoviste/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/targu-jiu/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/targu-mures/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/tulcea/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/turda/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/vaslui/,0,0
"in crawl, 0 date GSC 3 luni",/servicii/cazier-judiciar-online/zalau/,0,0
