unique_inlinks,inlinks,crawl_depth,tip,path,word_count,gsc_clicuri_3luni
0,0,3,embed,/embed/ancpi/,31,0
2,2,2,articol,/acte-necesare-casatorie/,1429,2
2,2,2,articol,/amenda-rovinieta-2025-tarife-plata-online-ghid-complet/,875,1463
2,3,4,articol,/ancpi-nu-functioneaza/?utm_source=embed&utm_medium=widget&utm_campaign=ancpi-status,5940,0
2,2,2,calculator,/calculator/calculator-data/,1507,116
2,2,2,calculator,/calculator/diurna/,1342,17
2,2,2,calculator,/calculator/grad-indatorare/,1512,1
2,2,2,calculator,/calculator/inflatie/,1465,6
2,2,2,calculator,/calculator/pensie-invaliditate/,1282,7201
2,2,2,calculator,/calculator/spor-salarial/,1352,17
2,2,2,calculator,/calculator/zile-lucratoare/,1242,97
2,2,2,articol,/cazier-fiscal-fara-spv/,1970,38
2,2,2,articol,/cazier-fiscal-firma/,1999,10
2,2,2,articol,/certificat-constatator-pentru-fonduri-europene/,1437,0
2,2,2,articol,/certificat-de-nastere-pentru-buletin-pasaport/,2314,15
2,2,2,articol,/extras-de-carte-funciara-pentru-casa-verde/,1143,7
2,2,2,articol,/sms-fals-amenda-ghiseul-ro/,1030,57
2,2,2,hub,/tools/,166,1
2,2,2,articol,/valabilitate-certificat-de-celibat/,1710,6
2,2,2,articol,/verificare-cazier-fiscal/,1924,14
3,3,2,calculator,/calculator/calculator-indemnizatie-crestere-copil/,1881,8877
3,3,2,calculator,/calculator/concediu-maternitate/,1383,22
3,3,2,calculator,/calculator/concediu-paternal/,1384,4
3,5,2,calculator,/calculator/cost-cadastru-intabulare/,1494,42
3,4,2,articol,/cazier-judiciar-online-gratuit/,1547,0
3,3,2,articol,/cazier-si-certificat-de-integritate-pentru-profesori/,1396,10
3,3,2,articol,/ce-este-un-releveu/,727,20
3,4,2,articol,/certificat-constatator-pentru-banca/,1579,2
3,4,2,articol,/certificat-constatator-pentru-licitatie/,1284,2
3,4,2,articol,/certificat-constatator-pentru-notar/,1470,0
3,3,2,articol,/certificat-de-celibat-pentru-casatorie-in-strainatate/,1637,1
3,3,2,articol,/certificat-de-nastere-din-strainatate/,1444,5
3,3,2,articol,/cum-vor-arata-documentele-de-stare-civila-2025/,1032,324
3,3,2,articol,/ghid-complet-certificat-de-integritate-comportamentala/,717,925
3,3,2,articol,/model-certificat-de-casatorie/,587,1
3,3,2,articol,/rolul-si-atributiile-onrc-romania/,668,17
3,3,2,serviciu,/servicii/copie-arhiva-ocpi/,2319,3
3,3,2,serviciu,/servicii/copie-contract-vanzare/,2223,2
