status_code,url_extern,inlinks_crawl,judet,pagina_noastra_probabila,indexabilitate_pagina
500,https://ab.politiaromana.ro/ro/i-p-j-alba/servicii-judetene/serviciul-cazier-judiciar-statistica-si-evidenta-operativa,2,Alba,/servicii/cazier-judiciar-online/alba-iulia/,Non-Indexable
500,https://ag.politiaromana.ro/ro/utile/documente-necesare-eliberarii-de-acte/cazier-judiciar-persoane-fizice-certificate-de-integritate,2,Argeș,/servicii/cazier-judiciar-online/pitesti/,Non-Indexable
0,https://anpc.ro/ce-este-sal/,233,,,
500,https://ar.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar,2,Arad,/servicii/cazier-judiciar-online/arad/,Non-Indexable
500,https://bc.politiaromana.ro/ro/utile/eliberari-cazier-judiciar,2,Bacău,/servicii/cazier-judiciar-online/bacau/,Non-Indexable
500,https://bh.politiaromana.ro/ro/utile/program-cu-publicul-acte-necesare/serviciul-cazier-judiciar,2,Bihor,/servicii/cazier-judiciar-online/oradea/,Non-Indexable
500,https://bn.politiaromana.ro/ro/informatii-utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar/obtinerea-certificatului-de-cazier-judiciar-persoane-fizice,2,Bistrița-Năsăud,/servicii/cazier-judiciar-online/bistrita/,Non-Indexable
500,https://br.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-integritate-comportamentala,2,Brăila,/servicii/cazier-judiciar-online/braila/,Non-Indexable
500,https://bt.politiaromana.ro/ro/informatii-utile/documente-eliberare-acte/eliberare-cazier-judiciar,2,Botoșani,/servicii/cazier-judiciar-online/botosani/,Non-Indexable
500,https://bv.politiaromana.ro/ro/informatii-publice/serviciul-cazier-judiciar,2,Brașov,/servicii/cazier-judiciar-online/brasov/,Non-Indexable
500,https://bz.politiaromana.ro/ro/utile/informatii-cazier,2,Buzău,/servicii/cazier-judiciar-online/buzau/,Non-Indexable
500,https://cj.politiaromana.ro/ro/obtinere-certificatului-de-cazier-judiciar-persoane-fizice,2,Cluj,/servicii/cazier-judiciar-online/cluj-napoca/,Indexable
500,https://cl.politiaromana.ro/ro/utile/eliberari-documente,2,Călărași,/servicii/cazier-judiciar-online/calarasi/,Non-Indexable
500,https://cs.politiaromana.ro/ro/ipj-caras-severin/servicii-judetene/serviciul-cazier-judiciar-si-evidente-operative1456222897,2,Caraș-Severin,/servicii/cazier-judiciar-online/resita/,Non-Indexable
500,https://ct.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar,2,Constanța,/servicii/cazier-judiciar-online/constanta/,Indexable
500,https://cv.politiaromana.ro/ro/utile/cazier-judiciar,2,Covasna,/servicii/cazier-judiciar-online/sfantu-gheorghe/,Non-Indexable
500,https://db.politiaromana.ro/ro/utile/program-de-lucru-ghisee/eliberare-cazier-judiciar,2,Dâmbovița,/servicii/cazier-judiciar-online/targoviste/,Non-Indexable
500,https://dj.politiaromana.ro/ro/utile/cazier-judiciar,2,Dolj,/servicii/cazier-judiciar-online/craiova/,Non-Indexable
301,https://ec.europa.eu/consumers/odr,233,,,
500,https://gj.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar,2,Gorj,/servicii/cazier-judiciar-online/targu-jiu/,Non-Indexable
500,https://gl.politiaromana.ro/ro/utile/documente-eliber-ri-acte/obtinerea-certificatului-de-cazier-judiciar-si-a-certificatului-de-integritate-comportamentala,2,Galați,/servicii/cazier-judiciar-online/galati/,Non-Indexable
500,https://gr.politiaromana.ro/ro/utile/documente-eliberari-acte/informatii-utile-cazier-judiciar-certificate-integritate-comportamentala,2,Giurgiu,/servicii/cazier-judiciar-online/giurgiu/,Non-Indexable
500,https://hd.politiaromana.ro/ro/utile/documente-eliberari-acte/serviciul-cazier-judiciar-statistica-si-evidente-operative,2,Hunedoara,/servicii/cazier-judiciar-online/deva/,Non-Indexable
500,https://hr.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-de-integritate-comportamentala,2,Harghita,/servicii/cazier-judiciar-online/miercurea-ciuc/,Non-Indexable
502,https://hub.mai.gov.ro/serviciu/view?id=90,1,,,
500,https://if.politiaromana.ro/ro/utile/program-si-documente-eliberari-acte,2,Ilfov,/servicii/cazier-judiciar-online/ilfov/,Non-Indexable
500,https://il.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-de-integritate-comportamentala,2,Ialomița,/servicii/cazier-judiciar-online/slobozia/,Non-Indexable
500,https://is.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-si-a-certificatului-de-integritatea-comportamentala,2,Iași,/servicii/cazier-judiciar-online/iasi/,Indexable
500,https://mh.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar,2,Mehedinți,/servicii/cazier-judiciar-online/drobeta-turnu-severin/,Non-Indexable
500,https://mm.politiaromana.ro/ro/utile/cazier-judiciar,2,Maramureș,/servicii/cazier-judiciar-online/baia-mare/,Non-Indexable
500,https://ms.politiaromana.ro/ro/utile/documente-eliberari-acte/informatii-cazier-judiciar-si-certificate-de-integritate-comportamentala,2,Mureș,/servicii/cazier-judiciar-online/targu-mures/,Non-Indexable
500,https://nt.politiaromana.ro/ro/utile/documente-eliberari-acte,2,Neamț,/servicii/cazier-judiciar-online/piatra-neamt/,Indexable
500,https://ot.politiaromana.ro/ro/utile/cazier-judiciar,2,Olt,/servicii/cazier-judiciar-online/slatina/,Non-Indexable
500,https://ph.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar,2,Prahova,/servicii/cazier-judiciar-online/ploiesti/,Non-Indexable
500,https://sb.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar,2,Sibiu,/servicii/cazier-judiciar-online/sibiu/,Non-Indexable
500,https://sj.politiaromana.ro/ro/utile/acte-necesare-pentru/eliberarea-certificatului-de-cazier-judiciar,2,Sălaj,/servicii/cazier-judiciar-online/zalau/,Non-Indexable
500,https://sm.politiaromana.ro/ro/utile/program-ghiseu-cazier,2,Satu Mare,/servicii/cazier-judiciar-online/satu-mare/,Indexable
500,https://sv.politiaromana.ro/ro/utile/documente-eliberate-de-poli-ie/certificat-de-cazier-judiciar,2,Suceava,/servicii/cazier-judiciar-online/suceava/,Non-Indexable
500,https://tl.politiaromana.ro/ro/utile/cazier-judiciar,2,Tulcea,/servicii/cazier-judiciar-online/tulcea/,Non-Indexable
500,https://tm.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar,2,Timiș,/servicii/cazier-judiciar-online/timisoara/,Indexable
500,https://tr.politiaromana.ro/ro/utile/cerere-certificat-cazier-judiciar/obtinerea-certificatului-de-cazier-judiciar-persoane-fizice,2,Teleorman,/servicii/cazier-judiciar-online/alexandria/,Non-Indexable
500,https://vl.politiaromana.ro/ro/utile/cazier-juridiar,2,Vâlcea,/servicii/cazier-judiciar-online/ramnicu-valcea/,Indexable
500,https://vn.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar,2,Vrancea,/servicii/cazier-judiciar-online/focsani/,Indexable
500,https://vs.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-si-a-certificatului-pentru-integritate-comportamentala/obtinerea-certificatului-de-cazier-judiciar-persoane-fizice-si-a-extrasului-de-pe-cazierul-judiciar,2,Vaslui,/servicii/cazier-judiciar-online/vaslui/,Non-Indexable
404,https://www.ancpi.ro/verificare/dc_index.php,1,,,
301,https://www.politiaromana.ro/,48,,,
