path,tip,status,indexability,indexability_status,word_count,sentence_count,avg_words_sentence,flesch,text_ratio,size_bytes,crawl_depth,folder_depth,inlinks,unique_inlinks,outlinks,unique_outlinks,external_outlinks,title_len,title_px,metadesc_len,metadesc_px,h1_len,canonical_self,meta_robots,response_time,gsc_clicuri_3luni,gsc_expuneri_3luni
/,homepage,200,Indexable,,2384,440,5.418,36.749,3.683,510123,0,0,930,232,121,56,10,54,499,181,1043,76,da,"index, follow",0.079,4567,181750
/acte-necesare-casatorie/,articol,200,Indexable,,1429,202,7.074,50.939,6.125,192660,2,1,2,2,88,57,4,71,636,223,1311,57,da,"index, follow",0.046,2,469
/acte-necesare-certificat-de-nastere/,articol,200,Indexable,,747,117,6.385,44.179,4.16,181934,2,1,7,6,87,56,4,77,679,134,780,63,da,"index, follow",0.414,3,458
/amenda-rovinieta-2025-tarife-plata-online-ghid-complet/,articol,200,Indexable,,875,175,5.0,70.171,4.251,190015,2,1,2,2,84,54,4,72,638,183,1116,58,da,"index, follow",0.044,1463,79629
/ancpi-nu-functioneaza/,articol,200,Indexable,,5940,882,6.735,43.703,11.821,358199,2,1,9,7,93,57,9,65,574,350,2074,177,da,"index, follow",0.073,20867,782744
/ancpi-nu-functioneaza/?utm_source=embed&utm_medium=widget&utm_campaign=ancpi-status,articol,200,Non-Indexable,Canonicalised,5940,882,6.735,43.703,11.821,358199,4,1,3,2,93,57,9,65,574,350,2074,177,nu,"index, follow",0.202,0,0
/anii-lucrati-in-strainatate-se-pun-la-pensie-in-romania/,articol,200,Indexable,,1068,161,6.634,53.636,4.922,189928,2,1,5,4,85,55,4,70,598,201,1176,56,da,"index, follow",0.133,1077,28443
/apostila-de-la-haga-ghid-acte-obtinere/,articol,200,Indexable,,1233,191,6.455,42.678,5.407,199641,1,1,6,6,89,56,4,89,758,194,1174,75,da,"index, follow",0.096,14,1166
/blog/,hub,200,Indexable,,1953,394,4.957,57.642,3.467,431896,1,1,466,232,138,110,4,54,484,173,992,13,da,"index, follow",0.059,6,1016
/calculator/,hub,200,Indexable,,566,112,5.054,61.802,3.555,176525,1,1,277,232,121,75,4,61,545,145,838,28,da,"index, follow",0.066,17,475
/calculator/amenda-circulatie/,calculator,200,Indexable,,1527,248,6.157,67.84,5.779,211979,1,2,238,232,88,55,4,70,637,120,716,33,da,"index, follow",0.19,217,30927
/calculator/calculator-data/,calculator,200,Indexable,,1507,204,7.387,62.079,5.517,211328,2,2,2,2,89,56,4,52,472,131,752,20,da,"index, follow",0.07,116,22943
/calculator/calculator-impozit-auto/,calculator,200,Indexable,,1136,175,6.491,73.495,4.667,202568,1,2,236,232,87,53,4,59,542,126,787,28,da,"index, follow",0.103,0,1
/calculator/calculator-indemnizatie-crestere-copil/,calculator,200,Indexable,,1881,303,6.208,67.944,6.291,222642,2,2,3,3,91,57,4,63,559,140,835,43,da,"index, follow",0.117,8877,126448
/calculator/calculator-procente/,calculator,200,Indexable,,1630,247,6.599,84.24,5.444,215952,1,2,237,232,91,54,4,57,510,122,719,19,da,"index, follow",0.23,1423,228867
/calculator/cat-pot-construi/,calculator,200,Indexable,,1419,209,6.789,64.846,5.23,217087,1,2,240,232,94,54,4,62,559,169,989,26,da,"index, follow",0.057,33,1773
/calculator/concediu-maternitate/,calculator,200,Indexable,,1383,220,6.286,53.949,5.518,207104,2,2,3,3,87,54,4,65,596,150,926,36,da,"index, follow",0.057,22,509
/calculator/concediu-medical/,calculator,200,Indexable,,1606,246,6.528,57.295,5.853,218598,1,2,237,232,87,54,4,61,561,117,714,32,da,"index, follow",0.108,2614,28782
/calculator/concediu-paternal/,calculator,200,Indexable,,1384,201,6.886,65.244,5.44,206640,2,2,3,3,88,55,4,47,425,146,859,33,da,"index, follow",0.143,4,129
/calculator/contributii-pfa/,calculator,200,Indexable,,1652,271,6.096,78.715,5.704,213188,2,2,10,10,88,55,4,66,588,125,777,31,da,"index, follow",0.098,537,33966
/calculator/cost-cadastru-intabulare/,calculator,200,Indexable,,1494,282,5.298,58.136,5.674,218709,2,2,5,3,96,55,4,65,575,188,1116,35,da,"index, follow",0.06,42,2398
/calculator/credit-ipotecar/,calculator,200,Indexable,,1338,221,6.054,72.778,5.129,209665,1,2,234,232,89,54,4,59,527,146,857,31,da,"index, follow",0.158,5,901
/calculator/diurna/,calculator,200,Indexable,,1342,195,6.882,69.924,5.134,211045,2,2,2,2,89,55,4,67,610,139,835,22,da,"index, follow",0.057,17,746
/calculator/dividende/,calculator,200,Indexable,,1440,288,5.0,73.568,5.417,211500,1,2,236,232,91,56,4,61,559,146,908,25,da,"index, follow",0.165,1379,37245
/calculator/dobanda-legala/,calculator,200,Indexable,,1290,192,6.719,65.77,5.304,210914,2,2,4,4,89,56,4,60,548,131,825,30,da,"index, follow",0.063,710,8328
/calculator/estimare-pensie/,calculator,200,Indexable,,1236,189,6.54,79.184,4.907,203049,1,2,235,232,89,54,4,65,603,168,983,26,da,"index, follow",0.127,0,1
/calculator/grad-indatorare/,calculator,200,Indexable,,1512,225,6.72,64.609,5.677,210122,2,2,2,2,88,54,4,54,477,147,894,34,da,"index, follow",0.071,1,302
/calculator/impozit-casa/,calculator,200,Indexable,,1444,202,7.149,58.325,5.625,215631,1,2,234,232,89,54,4,55,481,139,842,31,da,"index, follow",0.051,88,2541
/calculator/impozit-chirie/,calculator,200,Indexable,,1360,226,6.018,60.639,5.388,208578,2,2,6,6,89,55,4,73,628,126,776,33,da,"index, follow",0.119,487,16065
/calculator/impozit-pensie/,calculator,200,Indexable,,1525,275,5.545,81.158,5.419,214857,2,2,5,4,89,55,4,61,556,137,841,33,da,"index, follow",0.367,52,1335
/calculator/indemnizatie-somaj/,calculator,200,Indexable,,1389,190,7.311,75.408,5.065,210471,1,2,235,232,89,55,4,51,466,112,699,37,da,"index, follow",0.198,456,16049
/calculator/inflatie/,calculator,200,Indexable,,1465,203,7.217,67.557,5.545,210609,2,2,2,2,90,56,4,66,586,155,922,19,da,"index, follow",0.133,6,279
/calculator/jugar-stanjen-in-mp/,calculator,200,Indexable,,1423,261,5.452,70.685,5.461,222490,1,2,236,232,91,53,4,82,716,176,1017,43,da,"index, follow",0.104,61,2253
