word_count,path,tip,prag,gsc_clicuri_3luni,gsc_expuneri_3luni
166,/tools/,hub,<400,1,52
236,/contact/,legal,<400,190,17337
239,/gdpr/,legal,<400,0,46
407,/politica-cookies/,legal,<800,1,697
502,/curs-valutar/,articol,<800,336,186503
566,/calculator/,hub,<800,17,475
587,/model-certificat-de-casatorie/,articol,<800,1,84
648,/ce-este-planul-cadastral/,articol,<800,4,215
668,/rolul-si-atributiile-onrc-romania/,articol,<800,17,30042
717,/ghid-complet-certificat-de-integritate-comportamentala/,articol,<800,925,28959
727,/ce-este-un-releveu/,articol,<800,20,1208
736,/transcriere-certificat-de-casatorie/,articol,<800,0,0
746,/servicii/rovinieta-online/,serviciu,<800,39,7575
747,/acte-necesare-certificat-de-nastere/,articol,<800,3,458
750,/suspendare-activitate-firma-ghid/,articol,<800,0,0
768,/calculator/valabilitate-documente/,calculator,<800,6,2870
772,/servicii/extras-de-carte-funciara/teleorman/,locatie-cf,<800,0,0
773,/servicii/extras-de-carte-funciara/vaslui/,locatie-cf,<800,0,0
773,/servicii/extras-de-carte-funciara/botosani/,locatie-cf,<800,0,27
773,/servicii/extras-de-carte-funciara/braila/,locatie-cf,<800,9,277
774,/servicii/extras-de-carte-funciara/gorj/,locatie-cf,<800,0,0
774,/servicii/extras-de-carte-funciara/tulcea/,locatie-cf,<800,6,97
775,/servicii/extras-de-carte-funciara/harghita/,locatie-cf,<800,0,13
775,/servicii/extras-de-carte-funciara/maramures/,locatie-cf,<800,3,40
775,/servicii/extras-de-carte-funciara/bacau/,locatie-cf,<800,0,0
776,/servicii/extras-de-carte-funciara/neamt/,locatie-cf,<800,2,23
776,/servicii/extras-de-carte-funciara/bistrita-nasaud/,locatie-cf,<800,2,126
778,/servicii/extras-de-carte-funciara/hunedoara/,locatie-cf,<800,0,0
779,/servicii/extras-de-carte-funciara/valcea/,locatie-cf,<800,3,96
779,/servicii/extras-de-carte-funciara/ialomita/,locatie-cf,<800,0,0
780,/servicii/extras-de-carte-funciara/giurgiu/,locatie-cf,<800,2,60
780,/servicii/extras-de-carte-funciara/olt/,locatie-cf,<800,1,22
780,/servicii/extras-de-carte-funciara/salaj/,locatie-cf,<800,1,44
781,/politica-de-anulare/,legal,<800,3,159
781,/servicii/extras-de-carte-funciara/mehedinti/,locatie-cf,<800,0,17
783,/servicii/extras-de-carte-funciara/calarasi/,locatie-cf,<800,0,22
784,/servicii/extras-de-carte-funciara/buzau/,locatie-cf,<800,1,38
785,/servicii/extras-de-carte-funciara/caras-severin/,locatie-cf,<800,0,15
785,/servicii/extras-de-carte-funciara/vrancea/,locatie-cf,<800,1,27
786,/servicii/extras-de-carte-funciara/dambovita/,locatie-cf,<800,0,55
786,/servicii/extras-de-carte-funciara/arad/,locatie-cf,<800,5,108
786,/servicii/extras-de-carte-funciara/alba/,locatie-cf,<800,2,39
787,/servicii/extras-de-carte-funciara/covasna/,locatie-cf,<800,1,22
801,/servicii/extras-de-carte-funciara/satu-mare/,locatie-cf,<1000,9,274
804,/valabilitate-extras-de-carte-funciara/,articol,<1000,374,9676
825,/informatii-cazier-auto-online/,articol,<1000,822,35488
828,/certificat-constatator-cu-istoric/,articol,<1000,2,230
837,/servicii/,hub,<1000,20,1137
864,/schimbare-certificat-de-nastere-vechi/,articol,<1000,362,4911
866,/eliberare-certificat-constatator-onrc-ghid/,articol,<1000,168,20395
872,/taxa-cazier-judiciar/,articol,<1000,702,62896
875,/amenda-rovinieta-2025-tarife-plata-online-ghid-complet/,articol,<1000,1463,79629
879,/schimbare-sediu-social-srl-ghid/,articol,<1000,0,0
887,/certificat-constatator-pfa/,articol,<1000,0,0
913,/certificat-constatator-insolventa/,articol,<1000,0,0
920,/tools/verificare-rovinieta-online/,tool,<1000,32589,705383
955,/servicii/extras-de-carte-funciara/prahova/,locatie-cf,<1000,1,47
960,/servicii/extras-de-carte-funciara/ilfov/,locatie-cf,<1000,5,77
968,/servicii/extras-de-carte-funciara/arges/,locatie-cf,<1000,0,0
971,/servicii/extras-de-carte-funciara/dolj/,locatie-cf,<1000,4,129
971,/radiere-firma-srl-ghid/,articol,<1000,18,592
973,/servicii/extras-de-carte-funciara/bucuresti/,locatie-cf,<1000,24,690
978,/servicii/extras-de-carte-funciara/bihor/,locatie-cf,<1000,0,0
980,/servicii/extras-de-carte-funciara/galati/,locatie-cf,<1000,0,0
981,/servicii/extras-de-carte-funciara/timis/,locatie-cf,<1000,0,84
986,/servicii/extras-de-carte-funciara/cluj/,locatie-cf,<1000,6,502
987,/servicii/extras-de-carte-funciara/mures/,locatie-cf,<1000,0,83
987,/servicii/extras-de-carte-funciara/suceava/,locatie-cf,<1000,2,18
993,/servicii/extras-de-carte-funciara/iasi/,locatie-cf,<1000,1,100
993,/servicii/extras-de-carte-funciara/sibiu/,locatie-cf,<1000,2,130
996,/servicii/extras-de-carte-funciara/constanta/,locatie-cf,<1000,3,152
1002,/servicii/extras-de-carte-funciara/brasov/,locatie-cf,>=1000,15,799
1013,/totul-despre-cartea-funciara-colectiva/,articol,>=1000,67,6909
1015,/certificat-constatator-de-baza/,articol,>=1000,0,0
1026,/calculator/rambursare-anticipata/,calculator,>=1000,9,573
1030,/sms-fals-amenda-ghiseul-ro/,articol,>=1000,57,2798
1032,/cum-vor-arata-documentele-de-stare-civila-2025/,articol,>=1000,324,10728
1068,/anii-lucrati-in-strainatate-se-pun-la-pensie-in-romania/,articol,>=1000,1077,28443
1106,/calculator/taxe-srl/,calculator,>=1000,58,3470
1111,/calculator/salariu/,calculator,>=1000,14075,1081714
1136,/calculator/calculator-impozit-auto/,calculator,>=1000,0,1
1143,/extras-de-carte-funciara-pentru-casa-verde/,articol,>=1000,7,496
1183,/extras-carte-funciara-gratuit/,articol,>=1000,711,17380
1232,/politica-de-confidentialitate/,legal,>=1000,1,414
1233,/apostila-de-la-haga-ghid-acte-obtinere/,articol,>=1000,14,1166
1236,/calculator/estimare-pensie/,calculator,>=1000,0,1
1240,/calculator/varsta-pensionare/,calculator,>=1000,2,37
1242,/calculator/zile-lucratoare/,calculator,>=1000,97,47672
1259,/calculator/pensie-alimentara/,calculator,>=1000,3298,33560
1282,/calculator/pensie-invaliditate/,calculator,>=1000,7201,108736
