url,ruta,tip_pagina,verdict,tinta_301,motiv,cuvinte_main,scor_ai_per1k,jaccard_max,jaccard_partener,sf_near_dup,inlinkuri,inlinkuri_unice,adancime_crawl,link_score,backlink_extern_cunoscut,in_sitemap,clicuri_3luni,expuneri_3luni,pozitie_3luni,clicuri_pre,clicuri_post,expuneri_pre,expuneri_post,pozitie_pre,pozitie_post,regula_mecanica,title
https://eghiseul.ro/calculator/varsta-pensionare,/calculator/varsta-pensionare,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1222,9.82,0,,0,238,232,1,0,,true,31082,401832,5.43,7604,3604,111793,13478,5.75,2.56,KEEP,Calculator Vârstă de Pensionare 2026 — Când Ies la Pensie | eGhiseul.ro
https://eghiseul.ro/calculator/calculator-impozit-auto,/calculator/calculator-impozit-auto,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1082,12.94,0,,0,236,232,1,0,,true,22973,319725,3.89,4051,2036,66594,8911,3.84,2.99,REWRITE,Calculator Impozit Auto 2026 — Taxa pe Mașină | eGhiseul.ro
https://eghiseul.ro/calculator/calculator-indemnizatie-crestere-copil,/calculator/calculator-indemnizatie-crestere-copil,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1820,9.34,0,,0,3,3,2,0,,true,8877,126448,5.06,1852,1479,31143,9446,5.07,4.2,KEEP,Calculator Indemnizație Creștere Copil 2026 (ICC) | eGhiseul.ro
https://eghiseul.ro/calculator/pensie-invaliditate,/calculator/pensie-invaliditate,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1224,13.89,0,,0,2,2,2,0,,true,7201,108736,5.28,1476,760,29291,3815,5.56,2.18,REWRITE,"Calculator Pensie Invaliditate 2026 — Gradele I, II, III | eGhiseul.ro"
https://eghiseul.ro/tabel-varsta-pensionare-anticipata-femei,/tabel-varsta-pensionare-anticipata-femei,articol,KEEP,,"5.444 clicuri, AI 1,2/1k, poziția a URCAT 6,1→2,89 — nu o atinge",2535,1.18,0,,0,3,3,2,0,,true,5444,153641,6.01,1095,325,30927,4086,6.1,2.89,KEEP,Tabel Vârstă Pensionare Anticipată Femei (actualizat) | eGhiseul.ro
https://eghiseul.ro/calculator/pensie-alimentara,/calculator/pensie-alimentara,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1214,9.06,0,,0,234,232,1,0,,true,3298,33560,3.38,1289,1180,12921,6291,3.15,1.46,KEEP,Calculator Pensie Alimentară 2026 — Cât Trebuie să Plătești | eGhiseul.ro
https://eghiseul.ro/verificare-proprietar-imobil,/verificare-proprietar-imobil,articol,KEEP,,"2.492 clicuri, AI 1,5/1k (deja rescrisă), backlink money.ro — nu o atinge",1383,1.45,0,,0,3,3,2,0,da,true,2492,55481,5.86,1667,47,39392,449,5.94,3.11,KEEP,Cum afli cine e proprietarul unui imobil (după adresă sau CF) | eGhiseul.ro
https://eghiseul.ro/calculator/tva,/calculator/tva,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1382,13.75,0,,0,240,232,1,0,,true,2240,169556,5.15,537,97,41243,3370,4.76,3.06,REWRITE,"Calculator TVA 2026 — Adaugă sau Scoate TVA 21%, Gratuit | eGhiseul.ro"
https://eghiseul.ro/calculator/termene-judiciare,/calculator/termene-judiciare,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1297,10.02,0,,0,237,232,1,0,,true,1830,68156,4.34,528,3,10675,137,3.65,9.48,REWRITE,"Calculator Termene Judiciare 2026 — Exact, Gratuit, pe Loc | eGhiseul.ro"
https://eghiseul.ro/calculator/estimare-pensie,/calculator/estimare-pensie,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1171,8.54,0,,0,235,232,1,0,,true,1648,49065,3.76,824,58,23790,402,3.79,2.83,KEEP,Calculator Estimare Pensie 2026 — Puncte și Cuantum | eGhiseul.ro
https://eghiseul.ro/calculator/calculator-procente,/calculator/calculator-procente,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1481,12.83,0,,0,237,232,1,0,,true,1423,228867,5.4,232,14,53093,1100,5.9,4.14,REWRITE,Calculator Procente Online — Cât e X% din Y | eGhiseul.ro
https://eghiseul.ro/calculator/dividende,/calculator/dividende,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1379,10.15,0,,0,236,232,1,0,,true,1379,37245,4.29,478,311,12767,2875,3.91,2.0,REWRITE,Calculator Dividende 2026 — Impozit 16% și CASS | eGhiseul.ro
https://eghiseul.ro/anii-lucrati-in-strainatate-se-pun-la-pensie-in-romania,/anii-lucrati-in-strainatate-se-pun-la-pensie-in-romania,articol,KEEP,,"1.077 clicuri, AI 0,95/1k, poziția a URCAT 5,97→2,92",1049,0.95,0,,0,5,4,2,0,,true,1077,28443,6.01,226,116,8451,833,5.97,2.92,KEEP,Anii lucrați în străinătate se pun la pensie în România? | eGhiseul.ro
https://eghiseul.ro/calculator/dobanda-legala,/calculator/dobanda-legala,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1245,10.44,0,,0,4,4,2,0,,true,710,8328,3.66,307,41,3443,558,3.05,8.14,REWRITE,Calculator Dobândă Legală 2026 (Penalizatoare) | eGhiseul.ro
https://eghiseul.ro/valabilitate-extras-de-carte-funciara,/valabilitate-extras-de-carte-funciara,articol,KEEP,,"374 clicuri, poziția a URCAT 3,8→1,86",781,6.4,0,,0,4,4,2,0,,true,374,9676,3.94,117,34,2569,675,3.8,1.86,REWRITE,Valabilitate Extras de Carte Funciară: Cât Este Valabil | eGhiseul.ro
https://eghiseul.ro/schimbare-certificat-de-nastere-vechi,/schimbare-certificat-de-nastere-vechi,articol,KEEP,,"362 clicuri, poziția a URCAT 5,58→1,81 — singurul articol de stare civilă care merge",830,9.64,0,,0,4,4,2,0,,true,362,4911,5.46,136,94,2235,380,5.58,1.81,KEEP,Schimbare Certificat de Naștere Vechi cu Unul Nou: Ghid Complet | eGhiseul.ro
https://eghiseul.ro/calculator/amenda-circulatie,/calculator/amenda-circulatie,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1472,11.55,0,,0,238,232,1,0,,true,217,30927,6.6,108,1,16319,173,6.36,2.58,REWRITE,Calculator Amendă Circulație 2026 + Puncte de Penalizare | eGhiseul.ro
https://eghiseul.ro/calculator/calculator-data,/calculator/calculator-data,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1459,6.85,0,,0,2,2,2,0,,true,116,22943,7.47,62,1,15344,18,7.61,3.44,KEEP,Calculator Dată — Adună sau Scade Zile | eGhiseul.ro
https://eghiseul.ro/calculator/zile-lucratoare,/calculator/zile-lucratoare,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1203,13.3,0,,0,2,2,2,0,,true,97,47672,8.62,45,0,20349,2,8.72,10.5,REWRITE,Calculator Zile Lucrătoare 2026 | eGhiseul.ro
https://eghiseul.ro/calculator/taxe-srl,/calculator/taxe-srl,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1072,8.4,0,,0,4,4,2,0,,true,58,3470,17.84,34,0,1474,2,18.22,6.0,KEEP,"Calculator Taxe SRL 2026 — Micro 1%, Profit, Dividende | eGhiseul.ro"
https://eghiseul.ro/sms-fals-amenda-ghiseul-ro,/sms-fals-amenda-ghiseul-ro,articol,KEEP,,"conținut de utilitate publică, AI 2,0/1k — exact tipul de pagină care construiește încredere",1008,1.98,0,,0,2,2,2,0,,true,57,2798,7.0,0,0,9,4,7.11,16.75,REWRITE,SMS Fals cu Amendă de la „Ministerul Transporturilor”: frauda care imită Ghișeul.ro | eGhiseul.ro
https://eghiseul.ro/calculator/impozit-pensie,/calculator/impozit-pensie,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1474,8.14,0,,0,5,4,2,0,,true,52,1335,4.1,18,11,507,259,4.79,1.64,KEEP,Calculator Impozit pe Pensie 2026 — Pensie Netă | eGhiseul.ro
https://eghiseul.ro/calculator,/calculator,hub,KEEP,,hub de calculatoare — clusterul care a supraviețuit,521,3.84,0,,0,277,232,1,0,,true,17,475,4.92,8,1,252,39,4.92,4.87,CONSOLIDATE,Calculatoare Online Gratuite 2026 — eGhișeul.ro | eGhiseul.ro
https://eghiseul.ro/calculator/penalitati-anaf,/calculator/penalitati-anaf,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1568,8.29,0,,0,4,4,2,0,,true,17,509,6.0,10,0,202,10,5.45,5.9,CONSOLIDATE,Calculator Penalități și Dobânzi ANAF — Întârziere la Plată | eGhiseul.ro
https://eghiseul.ro/calculator/spor-salarial,/calculator/spor-salarial,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1307,11.48,0,,0,2,2,2,0,,true,17,642,5.6,5,1,131,2,5.2,1.0,CONSOLIDATE,Calculator Spor Noapte și Ore Suplimentare 2026 | eGhiseul.ro
https://eghiseul.ro/calculator/zile-concediu-odihna,/calculator/zile-concediu-odihna,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1344,11.16,0,,0,6,6,2,0,,true,15,272,5.78,0,1,33,3,5.88,5.33,CONSOLIDATE,Calculator Zile Concediu de Odihnă — Proporțional | eGhiseul.ro
https://eghiseul.ro/calculator/rambursare-anticipata,/calculator/rambursare-anticipata,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,997,10.03,0,,0,5,4,2,0,,true,9,573,8.4,4,0,208,0,6.0,,CONSOLIDATE,Calculator Rambursare Anticipată Credit — Dobândă Economisită | eGhiseul.ro
https://eghiseul.ro/blog,/blog,hub,KEEP,,"hub de articole, 1.886 cuvinte, poziția a URCAT 6,31→1,93",1886,9.01,0,,0,466,232,1,0,,true,6,1016,5.01,4,0,349,268,6.31,1.93,CONSOLIDATE,Blog — Informații utile despre documente | eGhiseul.ro
https://eghiseul.ro/calculator/inflatie,/calculator/inflatie,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1473,13.58,0,,0,2,2,2,0,,true,6,279,6.36,1,1,72,1,6.43,2.0,CONSOLIDATE,Calculator Inflație — Puterea de Cumpărare a Banilor | eGhiseul.ro
https://eghiseul.ro/termeni-si-conditii,/termeni-si-conditii,legal-trust,KEEP,,pagină legală/footer — scorul AI e artefact de lexicon pe text juridic,1668,17.99,0,,0,234,232,1,0,,true,6,368,7.02,0,0,76,25,9.11,2.72,CONSOLIDATE,Termeni și Condiții | eGhiseul.ro
https://eghiseul.ro/calculator/credit-ipotecar,/calculator/credit-ipotecar,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1265,8.7,0,,0,234,232,1,0,,true,5,901,20.39,2,0,457,11,18.76,10.27,CONSOLIDATE,Calculator Credit Ipotecar 2026 — Rata Lunară | eGhiseul.ro
https://eghiseul.ro/calculator/concediu-paternal,/calculator/concediu-paternal,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1336,14.22,0,,0,3,3,2,0,,true,4,129,4.64,1,0,25,0,4.52,,CONSOLIDATE,Calculator Concediu Paternal 2026 | eGhiseul.ro
https://eghiseul.ro/politica-de-anulare,/politica-de-anulare,legal-trust,KEEP,,pagină legală/footer — scorul AI e artefact de lexicon pe text juridic,720,19.44,0,,0,234,232,1,0,,true,3,159,4.08,1,0,39,73,5.67,2.05,CONSOLIDATE,Politica de Anulare și Rambursare | eGhiseul.ro
https://eghiseul.ro/calculator/grad-indatorare,/calculator/grad-indatorare,calculator,KEEP,,calculator — clusterul care a supraviețuit; nu-l atinge,1469,4.77,0,,0,2,2,2,0,,true,1,302,4.55,1,0,196,9,4.71,1.67,CONSOLIDATE,Calculator Grad de Îndatorare (DTI) 2026 | eGhiseul.ro
https://eghiseul.ro/politica-cookies,/politica-cookies,legal-trust,KEEP,,pagină legală/footer — scorul AI e artefact de lexicon pe text juridic,374,24.06,0,,0,234,232,1,0,,true,1,697,8.14,1,0,411,191,9.78,1.87,CONSOLIDATE,Politica de Cookie-uri | eGhiseul.ro
https://eghiseul.ro/politica-de-confidentialitate,/politica-de-confidentialitate,legal-trust,KEEP,,pagină legală/footer — scorul AI e artefact de lexicon pe text juridic,1119,35.75,0,,0,238,232,1,0,,true,1,414,6.55,0,0,94,2,7.44,86.0,CONSOLIDATE,Politica de Confidențialitate | eGhiseul.ro
https://eghiseul.ro/gdpr,/gdpr,legal-trust,KEEP,,pagină legală/footer — scorul AI e artefact de lexicon pe text juridic,213,9.39,0,,0,235,232,1,0,,true,0,46,5.24,0,0,17,4,4.0,3.75,CONSOLIDATE,GDPR — Protecția Datelor | eGhiseul.ro
https://eghiseul.ro/ancpi-nu-functioneaza,/ancpi-nu-functioneaza,articol,KEEP + FIX,,"nu investi în ea — cererea a dispărut odată cu avaria (11-12.08), poziția a URCAT 6,3→5,43. Doar: actualizează cu „portalul a repornit"", curăță AI 15,1/1k. E ținta a 4 backlinkuri.",5827,15.1,0,,0,9,7,2,0,da,true,20867,782744,6.1,15164,44,566789,527,6.3,5.43,REWRITE,ANCPI / Cadastru: ce funcționează azi — status live | eGhiseul.ro
https://eghiseul.ro/calculator/salariu,/calculator/salariu,calculator,KEEP + FIX,,"calculator nedemotat, dar AI 15.5/1k în text — curăță DOAR textul din jurul calculatorului, nu formula",1035,15.46,0,,0,254,232,1,0,,true,14075,1081714,5.47,1759,69,211972,1301,6.58,9.77,REWRITE,"Calculator Salariu Net 2026 — Brut în Net și Invers, Gratuit | eGhiseul.ro"
https://eghiseul.ro/calculator/concediu-medical,/calculator/concediu-medical,calculator,KEEP + FIX,,"calculator nedemotat, dar AI 17.6/1k în text — curăță DOAR textul din jurul calculatorului, nu formula",1534,17.6,0,,0,237,232,1,0,,true,2614,28782,4.56,1288,415,14222,1660,4.53,2.65,REWRITE,Calculator Concediu Medical 2026 — Indemnizație | eGhiseul.ro
https://eghiseul.ro/calculator/vechime-in-munca,/calculator/vechime-in-munca,calculator,KEEP + FIX,,"demotare reală măsurată (4.80→22.88) pe un calculator care funcționează — curăță DOAR textul din jur (AI 6.0/1k), nu atinge formula, nu atinge layoutul",1325,6.04,0,,0,6,6,2,0,,true,837,6085,4.95,209,9,1364,17,4.8,22.88,REWRITE,"Calculator Vechime în Muncă — Ani, Luni, Zile | eGhiseul.ro"
https://eghiseul.ro/extras-carte-funciara-gratuit,/extras-carte-funciara-gratuit,articol,KEEP + FIX,,"711 clicuri, AI 9,8/1k — curățare de tipare, fără rescriere",1127,9.76,0,,0,4,4,2,0,,true,711,17380,7.53,391,4,10483,38,7.77,5.71,KEEP,Extras de Carte Funciară Gratuit prin MyTerra — Ghid + Limite | eGhiseul.ro
