Data,Clicuri,Expuneri,CTR,Poziție
2026-05-05,2300,63485,3.62%,6
2026-05-06,2218,61782,3.59%,6.1
2026-05-07,2048,60535,3.38%,6.3
2026-05-08,2082,54664,3.81%,5.6
2026-05-09,1477,33560,4.4%,6.1
2026-05-10,1927,42789,4.5%,6
2026-05-11,2366,66764,3.54%,5.8
2026-05-12,2206,65008,3.39%,5.8
2026-05-13,2189,61754,3.54%,5.7
2026-05-14,1892,57980,3.26%,5.9
2026-05-15,1771,48667,3.64%,5.4
2026-05-16,1563,34093,4.58%,5.8
2026-05-17,2224,43647,5.1%,5
2026-05-18,2308,60454,3.82%,5.3
2026-05-19,2025,54747,3.7%,5.7
2026-05-20,2095,54393,3.85%,5.8
2026-05-21,1906,53135,3.59%,5.7
2026-05-22,1850,50427,3.67%,5.4
2026-05-23,1329,30707,4.33%,5.6
2026-05-24,1667,40441,4.12%,5.5
2026-05-25,2158,66368,3.25%,5.2
2026-05-26,2262,68510,3.3%,5.1
2026-05-27,2034,61619,3.3%,5.2
2026-05-28,1883,61045,3.08%,5.2
2026-05-29,1860,51162,3.64%,5.4
2026-05-30,1360,30189,4.5%,5.4
2026-05-31,1637,35150,4.66%,5.3
2026-06-01,2119,48520,4.37%,5.2
2026-06-02,2592,72551,3.57%,5
2026-06-03,2460,71363,3.45%,5.1
2026-06-04,2323,67583,3.44%,5.1
2026-06-05,1982,55196,3.59%,5
2026-06-06,1466,35145,4.17%,5.1
2026-06-07,1875,43035,4.36%,5.1
2026-06-08,2432,67710,3.59%,5
2026-06-09,2468,66362,3.72%,5
2026-06-10,2292,66862,3.43%,4.9
2026-06-11,2140,60366,3.55%,5.1
2026-06-12,1860,52867,3.52%,5.1
2026-06-13,1289,30934,4.17%,5.1
2026-06-14,1653,41760,3.96%,5.2
2026-06-15,2264,64933,3.49%,5.1
2026-06-16,2167,61055,3.55%,5.1
2026-06-17,1967,63936,3.08%,5.5
2026-06-18,1997,59746,3.34%,5.2
2026-06-19,1688,49831,3.39%,5.2
2026-06-20,1167,29320,3.98%,5.4
2026-06-21,1493,37350,4%,5.2
2026-06-22,2123,60600,3.5%,5.2
2026-06-23,2080,59762,3.48%,5
2026-06-24,2091,60087,3.48%,5.1
2026-06-25,2324,63466,3.66%,5.1
2026-06-26,1815,53833,3.37%,5.1
2026-06-27,1585,30987,5.12%,4.9
2026-06-28,2400,45290,5.3%,4.8
2026-06-29,3136,70391,4.46%,4.8
2026-06-30,2385,70785,3.37%,4.9
2026-07-01,2306,70862,3.25%,5.1
2026-07-02,2147,65417,3.28%,5.1
2026-07-03,1809,54068,3.35%,5
2026-07-04,1407,33629,4.18%,5
2026-07-05,1858,40770,4.56%,5.1
2026-07-06,2187,64994,3.36%,5.1
2026-07-07,2558,65936,3.88%,4.9
2026-07-08,3002,74498,4.03%,4.9
2026-07-09,2512,73811,3.4%,5.2
2026-07-10,2200,63577,3.46%,5.3
2026-07-11,1483,36548,4.06%,5.5
2026-07-12,1662,44538,3.73%,5.6
2026-07-13,2334,68132,3.43%,5.5
2026-07-14,2052,63255,3.24%,6
2026-07-15,2186,65074,3.36%,5.7
2026-07-16,2117,63815,3.32%,5.8
2026-07-17,1949,58783,3.32%,5.7
2026-07-18,1374,37146,3.7%,5.5
2026-07-19,1745,49291,3.54%,5.9
2026-07-20,2498,80219,3.11%,5.5
2026-07-21,2420,76773,3.15%,5.5
2026-07-22,2654,84107,3.16%,5.4
2026-07-23,2660,83108,3.2%,5.5
2026-07-24,1847,66737,2.77%,5.8
2026-07-25,1190,40704,2.92%,5.8
2026-07-26,1723,55882,3.08%,5.7
2026-07-27,2591,98319,2.64%,5.7
2026-07-28,2346,90399,2.6%,5.8
2026-07-29,2174,86756,2.51%,5.9
2026-07-30,2832,103566,2.73%,6
2026-07-31,2795,97954,2.85%,6.2
2026-08-01,1738,56145,3.1%,6.2
2026-08-02,2229,77809,2.86%,6.1
2026-08-03,3353,137630,2.44%,6.3
2026-08-04,3534,143811,2.46%,6.1
