Țara,Clicuri,Expuneri,CTR,Poziție
România,182785,5002124,3.65%,5.38
Germania,1687,53089,3.18%,6
Italia,1346,40948,3.29%,6.24
Regatul Unit (United Kingdom),1146,51625,2.22%,5.64
Spania,711,18520,3.84%,6.05
Franța,582,13534,4.3%,9.13
Austria,475,13956,3.4%,5.93
Țările de Jos,391,27119,1.44%,6.26
Belgia,295,6808,4.33%,5.91
Republica Moldova,280,14708,1.9%,7.13
Ungaria,216,5283,4.09%,6
Grecia,198,6396,3.1%,5.55
Statele Unite,161,226491,0.07%,5.67
Irlanda,129,3420,3.77%,5.74
Bulgaria,117,3240,3.61%,6.87
Elveția,114,3078,3.7%,5.86
Danemarca,90,2387,3.77%,5.91
Turcia,76,4066,1.87%,6.31
Polonia,76,4065,1.87%,17.65
Canada,76,3653,2.08%,6.62
Norvegia,74,1582,4.68%,5.9
Suedia,72,1816,3.96%,5.87
Serbia,56,1653,3.39%,5.85
Cehia,53,1645,3.22%,5.96
Cipru,46,953,4.83%,5.51
Israel,41,894,4.59%,7.25
Luxemburg,36,613,5.87%,6.44
Ucraina,32,1673,1.91%,7.09
Portugalia,29,1237,2.34%,5.71
Slovacia,25,605,4.13%,6.43
Finlanda,19,510,3.73%,5.42
Emiratele Arabe Unite,18,1548,1.16%,5.68
Islanda,17,249,6.83%,6.14
Croația,15,644,2.33%,5.74
Australia,14,602,2.33%,7.69
Rusia,12,1107,1.08%,9.23
Malta,12,287,4.18%,6.29
Egipt,10,1008,0.99%,6.95
Japonia,10,491,2.04%,6.45
Albania,10,466,2.15%,5.62
Slovenia,10,347,2.88%,5.75
Maroc,9,831,1.08%,9.83
Brazilia,8,2717,0.29%,6.93
Malaezia,7,421,1.66%,11.72
Tunisia,7,372,1.88%,6.69
Qatar,7,154,4.55%,5.31
Bosnia și Herțegovina,6,197,3.05%,5.63
Insulele Feroe,6,29,20.69%,4.03
Arabia Saudită,5,685,0.73%,8.6
Singapore,5,257,1.95%,6.19
Gibraltar,5,31,16.13%,5.61
Mexic,4,1055,0.38%,9.68
China,4,602,0.66%,6.96
Thailanda,4,593,0.67%,11.38
Pakistan,4,543,0.74%,11.37
Lituania,4,237,1.69%,7.09
Muntenegru,4,172,2.33%,5.81
Paraguay,4,102,3.92%,5.54
Vietnam,3,1637,0.18%,14.49
Indonezia,3,852,0.35%,11.35
Irak,3,417,0.72%,7.29
Peru,3,221,1.36%,7.05
Letonia,3,144,2.08%,10.45
Iran,3,131,2.29%,6
Kosovo,3,100,3%,6.49
Angola,3,65,4.62%,5.37
Jersey,3,47,6.38%,7.15
Zimbabwe,3,37,8.11%,5.84
India,2,1633,0.12%,8.95
Filipine,2,745,0.27%,13.95
Columbia,2,560,0.36%,7.46
Hong Kong,2,494,0.4%,6.18
Africa de Sud,2,327,0.61%,6.69
Iordania,2,305,0.66%,11.84
Kazahstan,2,102,1.96%,7.5
Armenia,2,78,2.56%,6.41
Costa Rica,2,76,2.63%,6.68
Bahrain,2,73,2.74%,7.08
Senegal,2,59,3.39%,8.75
Siria,2,43,4.65%,5.88
Saint Vincent și Grenadinele,2,9,22.22%,5
Argentina,1,573,0.17%,7.15
Coreea de Sud,1,462,0.22%,6.26
Nigeria,1,288,0.35%,6.05
Ecuador,1,267,0.37%,7.42
Azerbaidjan,1,255,0.39%,5.06
Chile,1,244,0.41%,6.72
Taiwan,1,235,0.43%,7.4
Venezuela,1,228,0.44%,7.18
Uzbekistan,1,194,0.52%,5.68
Macedonia,1,161,0.62%,5.47
Georgia,1,157,0.64%,6.07
Palestina,1,139,0.72%,6.07
Oman,1,112,0.89%,6.38
Republica Dominicană,1,108,0.93%,6.94
Noua Zeelandă,1,99,1.01%,7.34
Estonia,1,93,1.08%,7.52
Regiune necunoscută,1,93,1.08%,9.87
Kuweit,1,89,1.12%,7.18
Panama,1,81,1.23%,7.69
Congo – Kinshasa,1,48,2.08%,4.81
Andorra,1,33,3.03%,6.36
Madagascar,1,30,3.33%,7.9
Somalia,1,29,3.45%,7.34
Camerun,1,26,3.85%,8.77
Monaco,1,18,5.56%,4.44
Capul Verde,1,18,5.56%,5.28
Guyana,1,16,6.25%,9.31
Polinezia Franceză,1,15,6.67%,4.33
Bermude,1,13,7.69%,4.92
Botswana,1,7,14.29%,16
Swaziland,1,6,16.67%,3.33
Algeria,0,444,0%,9.4
Bangladesh,0,429,0%,12.03
Kenya,0,150,0%,7.42
Belarus,0,133,0%,6.55
Liban,0,102,0%,6.25
Jamaica,0,98,0%,6.3
Etiopia,0,76,0%,7.5
Libia,0,71,0%,6.08
Uruguay,0,71,0%,6.27
Trinidad și Tobago,0,68,0%,5.37
Nepal,0,62,0%,7.55
Bolivia,0,62,0%,8.26
Laos,0,59,0%,4.46
Côte d’Ivoire,0,56,0%,22.04
Tanzania,0,53,0%,6.53
Ghana,0,53,0%,10.53
Sri Lanka,0,45,0%,6.24
Burkina Faso,0,43,0%,5.79
Honduras,0,43,0%,5.91
Afganistan,0,41,0%,4.78
Uganda,0,41,0%,5.22
Porto Rico,0,41,0%,5.78
Barbados,0,38,0%,5.26
