Țara,Clicuri,Expuneri,CTR,Poziție
România,1384301,24426688,5.67%,5.43
Germania,13645,294699,4.63%,7.15
Italia,10756,247692,4.34%,6.46
Regatul Unit (United Kingdom),10710,217840,4.92%,7.14
Spania,6249,135623,4.61%,6.65
Franța,4687,96015,4.88%,10.39
Austria,3719,94226,3.95%,5.79
Țările de Jos,2768,59534,4.65%,6.75
Belgia,2500,50407,4.96%,6.11
Republica Moldova,2369,133939,1.77%,8.36
Ungaria,1718,38439,4.47%,7.16
Statele Unite,1488,615159,0.24%,8.94
Irlanda,1115,23362,4.77%,6.23
Elveția,1019,22882,4.45%,6.65
Grecia,935,21431,4.36%,6.31
Canada,847,25099,3.37%,10.18
Danemarca,837,16096,5.2%,6.79
Suedia,639,12996,4.92%,7.12
Bulgaria,605,15910,3.8%,7.5
Turcia,503,20161,2.49%,9.15
Cehia,470,11050,4.25%,7.43
Norvegia,456,9229,4.94%,6.89
Polonia,452,21337,2.12%,10.55
Serbia,413,10138,4.07%,6.88
Portugalia,316,8422,3.75%,7.32
Israel,286,6395,4.47%,9.87
Cipru,285,5996,4.75%,5.89
Emiratele Arabe Unite,206,5335,3.86%,9.55
Luxemburg,185,3784,4.89%,6.53
Ucraina,180,10165,1.77%,11.21
Slovacia,153,3919,3.9%,8.07
Australia,140,4734,2.96%,14.78
Islanda,118,1533,7.7%,6.67
Finlanda,115,3267,3.52%,8.72
Malta,112,1965,5.7%,5.78
Egipt,110,5491,2%,11.61
Croația,73,2643,2.76%,8.06
Slovenia,73,2172,3.36%,7.8
Japonia,69,7382,0.93%,25.7
Thailanda,68,3628,1.87%,15.58
Rusia,62,11831,0.52%,19.7
Albania,61,1928,3.16%,8.73
Bosnia și Herțegovina,59,1428,4.13%,8.72
Brazilia,55,37379,0.15%,22.57
India,53,18208,0.29%,18.94
Arabia Saudită,52,3912,1.33%,18.11
Maroc,51,3375,1.51%,12.89
Qatar,46,979,4.7%,7.72
Indonezia,40,5453,0.73%,18.56
Filipine,40,5442,0.74%,22.01
Malaezia,39,3794,1.03%,17.72
Lituania,37,1690,2.19%,12.58
Singapore,34,2510,1.35%,11.77
Tunisia,34,1766,1.93%,11.48
Vietnam,33,11453,0.29%,21.4
China,31,1861,1.67%,8.27
Coreea de Sud,30,7099,0.42%,18.45
Pakistan,30,3315,0.9%,17.53
Letonia,30,950,3.16%,9.61
Mexic,26,6181,0.42%,18.06
Regiune necunoscută,26,1170,2.22%,13.73
Nigeria,24,1708,1.41%,12.26
Kosovo,24,447,5.37%,5.81
Kuweit,23,598,3.85%,11.52
Columbia,22,3282,0.67%,15.38
Oman,20,853,2.34%,16.54
Noua Zeelandă,20,821,2.44%,16.15
Africa de Sud,19,3711,0.51%,16.19
Iordania,19,1329,1.43%,12.03
Macedonia,19,867,2.19%,8.85
Irak,18,2166,0.83%,15.19
Libia,18,363,4.96%,8.68
Hong Kong,16,1175,1.36%,10.25
Estonia,16,690,2.32%,9.58
Iran,15,1020,1.47%,12.08
Jersey,15,266,5.64%,7.3
Algeria,14,2375,0.59%,12.87
Kazahstan,14,1075,1.3%,15.88
Republica Dominicană,14,984,1.42%,14.97
Sri Lanka,14,521,2.69%,12.15
Bahrain,14,438,3.2%,12.16
Chile,13,1610,0.81%,16.97
Gibraltar,13,221,5.88%,6.48
Insulele Feroe,13,138,9.42%,4.83
Bangladesh,12,2724,0.44%,17.98
Maldive,12,292,4.11%,7.33
Andorra,12,221,5.43%,9.6
Peru,11,1707,0.64%,14.62
Kenya,11,1151,0.96%,14.05
Congo – Kinshasa,11,235,4.68%,8.04
Argentina,10,4494,0.22%,18.35
Georgia,10,855,1.17%,13.04
Mauritius,10,208,4.81%,8.82
Costa Rica,9,561,1.6%,13.86
Azerbaidjan,8,932,0.86%,12.83
Palestina,8,661,1.21%,10.45
Armenia,8,535,1.5%,10.69
Muntenegru,8,513,1.56%,8.07
Senegal,8,404,1.98%,12.58
Zimbabwe,8,388,2.06%,9.12
Tanzania,8,374,2.14%,9.49
Bahamas,8,368,2.17%,15.57
Monaco,8,192,4.17%,5.15
Liechtenstein,8,75,10.67%,7.73
Ecuador,7,2542,0.28%,18.56
Taiwan,7,1988,0.35%,16.9
Etiopia,7,466,1.5%,16.04
Guernsey,7,74,9.46%,6.57
Sudanul de Sud,7,68,10.29%,5.06
Liban,6,626,0.96%,8.73
Angola,6,344,1.74%,10.74
Siria,6,324,1.85%,13.1
Seychelles,6,190,3.16%,8.06
Belarus,5,1130,0.44%,15.75
Uganda,5,234,2.14%,10.24
San Marino,5,108,4.63%,8.77
Martinica,5,98,5.1%,9.6
Venezuela,4,1464,0.27%,19.45
Paraguay,4,700,0.57%,19.14
Cambodgia,4,310,1.29%,13.74
Cuba,4,147,2.72%,8.81
Afganistan,4,101,3.96%,7.42
Somalia,4,61,6.56%,14.02
Macau,4,33,12.12%,8.27
