Data,Neindexate,Indexate,Expuneri
2026-04-21,,,60473
2026-04-22,,,58831
2026-04-23,,,59701
2026-04-24,65,66,51571
2026-04-25,65,66,33283
2026-04-26,65,66,42643
2026-04-27,65,66,66452
2026-04-28,65,66,61649
2026-04-29,65,66,69000
2026-04-30,65,66,57912
2026-05-01,65,66,34969
2026-05-02,65,66,32761
2026-05-03,65,66,42640
2026-05-04,65,66,68258
2026-05-05,65,66,63485
2026-05-06,65,66,61781
2026-05-07,65,66,60534
2026-05-08,65,66,54664
2026-05-09,65,66,33560
2026-05-10,65,66,42789
2026-05-11,65,66,66764
2026-05-12,65,66,65008
2026-05-13,65,66,61754
2026-05-14,65,66,57980
2026-05-15,65,66,48667
2026-05-16,65,66,34092
2026-05-17,65,66,43647
2026-05-18,65,66,60454
2026-05-19,64,66,54747
2026-05-20,64,66,54393
2026-05-21,64,66,53135
2026-05-22,64,66,50427
2026-05-23,64,66,30707
2026-05-24,64,66,40441
2026-05-25,64,66,66368
2026-05-26,64,66,68510
2026-05-27,64,66,61619
2026-05-28,64,66,61045
2026-05-29,64,66,51162
2026-05-30,64,66,30189
2026-05-31,64,66,35150
2026-06-01,64,66,48520
2026-06-02,68,66,72551
2026-06-03,68,66,71363
2026-06-04,68,66,67583
2026-06-05,68,66,55196
2026-06-06,67,66,35145
2026-06-07,67,66,43035
2026-06-08,67,66,67710
2026-06-09,66,66,66362
2026-06-10,66,66,66862
2026-06-11,66,66,60366
2026-06-12,66,66,52866
2026-06-13,64,66,30934
2026-06-14,64,66,41760
2026-06-15,64,66,64930
2026-06-16,64,66,61052
2026-06-17,64,66,63935
2026-06-18,64,66,59744
2026-06-19,64,66,49831
2026-06-20,64,66,29319
2026-06-21,64,66,37350
2026-06-22,64,66,60597
2026-06-23,64,66,59762
2026-06-24,64,66,60086
2026-06-25,64,66,63466
2026-06-26,64,66,53833
2026-06-27,64,66,30987
2026-06-28,64,66,45290
2026-06-29,64,66,70389
2026-06-30,64,66,70780
2026-07-01,479,156,70862
2026-07-02,479,156,65417
2026-07-03,479,156,54068
2026-07-04,479,156,33628
2026-07-05,479,156,40767
2026-07-06,479,156,64993
2026-07-07,479,156,65935
2026-07-08,479,156,74494
2026-07-09,479,156,73809
2026-07-10,479,156,63573
