Țara,Clicuri,Expuneri,CTR,Poziție
România,176531,4464067,3.95%,5.39
Germania,1670,46850,3.56%,6.25
Italia,1270,35645,3.56%,6.55
Regatul Unit (United Kingdom),1118,32103,3.48%,6.27
Spania,676,18015,3.75%,6.46
Franța,587,13860,4.24%,10.42
Austria,462,13561,3.41%,6.2
Țările de Jos,390,19805,1.97%,6.51
Belgia,302,6697,4.51%,6.02
Republica Moldova,272,14887,1.83%,7.76
Ungaria,207,5055,4.09%,6.1
Statele Unite,159,226552,0.07%,5.79
Grecia,159,4621,3.44%,5.61
Irlanda,129,3252,3.97%,5.82
Elveția,117,3086,3.79%,5.95
Bulgaria,105,2556,4.11%,6.9
Danemarca,87,2362,3.68%,6.06
Canada,80,3686,2.17%,6.81
Polonia,76,3885,1.96%,18.24
Norvegia,76,1583,4.8%,6.2
Suedia,71,1778,3.99%,6.2
Turcia,61,2806,2.17%,6.29
Cehia,60,1572,3.82%,6.43
Serbia,59,1563,3.77%,6.31
Cipru,41,866,4.73%,5.75
Portugalia,34,1126,3.02%,5.86
Ucraina,30,1253,2.39%,6.93
Luxemburg,30,549,5.46%,7.17
Israel,28,706,3.97%,9.46
Slovacia,23,544,4.23%,6.72
Finlanda,21,481,4.37%,6.4
Islanda,18,238,7.56%,6.37
Emiratele Arabe Unite,17,873,1.95%,6.42
Australia,15,686,2.19%,7.75
Malta,14,286,4.9%,6.42
Rusia,13,905,1.44%,10.18
Croația,12,491,2.44%,6.46
Japonia,11,539,2.04%,7.62
Slovenia,10,320,3.12%,5.86
Maroc,9,538,1.67%,9.32
Albania,9,356,2.53%,6.03
Egipt,8,713,1.12%,7.8
Brazilia,7,2647,0.26%,7.06
Malaezia,6,375,1.6%,11.06
Tunisia,6,290,2.07%,7.37
Bosnia și Herțegovina,6,151,3.97%,5.97
Kosovo,6,81,7.41%,6.83
Insulele Feroe,6,29,20.69%,4.07
Mexic,5,1051,0.48%,8.73
Lituania,5,228,2.19%,6.91
Qatar,5,111,4.5%,5.54
Paraguay,5,106,4.72%,6.9
Gibraltar,5,30,16.67%,5.7
India,4,1471,0.27%,9.41
Pakistan,4,421,0.95%,10.7
Arabia Saudită,4,356,1.12%,7.69
Singapore,4,260,1.54%,6.35
Zimbabwe,4,41,9.76%,6.95
Vietnam,3,966,0.31%,13.89
Irak,3,264,1.14%,7.23
Letonia,3,158,1.9%,9.79
Iordania,3,142,2.11%,7.14
Iran,3,133,2.26%,6.95
Costa Rica,3,97,3.09%,7.2
Kuweit,3,59,5.08%,9.07
Angola,3,57,5.26%,6.51
Congo – Kinshasa,3,32,9.38%,5.28
China,2,635,0.31%,6.95
Columbia,2,611,0.33%,7.72
Filipine,2,461,0.43%,13.2
Thailanda,2,396,0.51%,8.75
Africa de Sud,2,269,0.74%,7.51
Peru,2,222,0.9%,7.63
Kazahstan,2,107,1.87%,7.36
Armenia,2,71,2.82%,6.85
Senegal,2,52,3.85%,10
Bahrain,2,50,4%,8.16
Siria,2,43,4.65%,5.79
Jersey,2,43,4.65%,7.6
Somalia,2,19,10.53%,8.05
Indonezia,1,677,0.15%,10.29
Argentina,1,550,0.18%,7.53
Coreea de Sud,1,411,0.24%,7.45
Ecuador,1,294,0.34%,8.21
Hong Kong,1,272,0.37%,7.71
Venezuela,1,256,0.39%,7.71
Taiwan,1,238,0.42%,8.1
Algeria,1,238,0.42%,9.08
Chile,1,233,0.43%,7.4
Nigeria,1,152,0.66%,7.36
Uzbekistan,1,127,0.79%,9.5
