Țara,Clicuri,Expuneri,CTR,Poziție
România,176284,4646003,3.79%,5.33
Germania,1636,50062,3.27%,6.03
Italia,1295,38276,3.38%,6.33
Regatul Unit (United Kingdom),1135,43565,2.61%,5.69
Spania,695,17860,3.89%,6.09
Franța,569,13439,4.23%,9.54
Austria,465,13518,3.44%,5.98
Țările de Jos,397,24516,1.62%,6.25
Belgia,291,6572,4.43%,5.91
Republica Moldova,274,14576,1.88%,7.37
Ungaria,207,5081,4.07%,5.97
Grecia,177,5560,3.18%,5.44
Statele Unite,161,225001,0.07%,5.69
Irlanda,127,3285,3.87%,5.7
Elveția,116,3030,3.83%,5.82
Bulgaria,106,2889,3.67%,6.71
Danemarca,88,2348,3.75%,5.88
Norvegia,75,1532,4.9%,5.81
Polonia,72,3937,1.83%,18
Canada,72,3596,2%,6.69
Suedia,71,1752,4.05%,5.9
Turcia,70,3651,1.92%,5.95
Cehia,57,1609,3.54%,6.08
Serbia,55,1581,3.48%,5.85
Cipru,45,900,5%,5.52
Israel,40,836,4.78%,7.38
Luxemburg,36,586,6.14%,6.58
Ucraina,34,1530,2.22%,6.72
Portugalia,30,1181,2.54%,5.55
Slovacia,25,577,4.33%,6.39
Emiratele Arabe Unite,18,1196,1.51%,5.92
Finlanda,18,493,3.65%,5.36
Islanda,18,245,7.35%,6.07
Australia,16,609,2.63%,7.69
Malta,13,283,4.59%,6.23
Rusia,12,1021,1.18%,9.22
Croația,12,563,2.13%,5.95
Japonia,10,498,2.01%,6.53
Slovenia,10,329,3.04%,5.6
Egipt,9,962,0.94%,7.11
Maroc,9,744,1.21%,9.08
Albania,9,411,2.19%,5.67
Brazilia,8,2712,0.29%,6.99
Malaezia,7,363,1.93%,10.56
Tunisia,7,356,1.97%,6.53
Bosnia și Herțegovina,6,182,3.3%,5.52
Qatar,6,148,4.05%,5.28
Insulele Feroe,6,29,20.69%,4.03
Gibraltar,5,31,16.13%,5.42
Mexic,4,1006,0.4%,9.23
Arabia Saudită,4,591,0.68%,7.72
Pakistan,4,488,0.82%,11.03
Paraguay,4,99,4.04%,5.57
Zimbabwe,4,40,10%,5.9
Indonezia,3,783,0.38%,10.7
China,3,605,0.5%,6.94
Thailanda,3,513,0.58%,9.97
Irak,3,372,0.81%,6.69
Singapore,3,251,1.2%,6.17
Lituania,3,229,1.31%,6.57
Letonia,3,137,2.19%,9.43
Iran,3,131,2.29%,6.01
Kosovo,3,95,3.16%,6.58
Angola,3,60,5%,5.17
Jersey,3,44,6.82%,7.39
India,2,1563,0.13%,8.72
Vietnam,2,1544,0.13%,14.62
Filipine,2,600,0.33%,13.29
Columbia,2,571,0.35%,7.53
Hong Kong,2,396,0.51%,6.2
Africa de Sud,2,319,0.63%,6.75
Iordania,2,249,0.8%,10.11
Peru,2,215,0.93%,7
Muntenegru,2,136,1.47%,5.4
Kazahstan,2,104,1.92%,7.42
Kuweit,2,89,2.25%,7.26
Armenia,2,75,2.67%,6.68
Costa Rica,2,74,2.7%,6.57
Bahrain,2,70,2.86%,7.23
Senegal,2,57,3.51%,8.84
Siria,2,41,4.88%,5.66
Somalia,2,28,7.14%,7.07
Argentina,1,569,0.18%,7.13
Coreea de Sud,1,457,0.22%,6.39
Algeria,1,390,0.26%,8.69
Nigeria,1,268,0.37%,6.12
Ecuador,1,268,0.37%,7.4
Azerbaidjan,1,250,0.4%,5.03
Taiwan,1,235,0.43%,7.57
Chile,1,233,0.43%,6.68
