 scor/1k  cuvinte  url
    38.1     1155  /politica-de-confidentialitate/
    25.3      908  /certificat-constatator-de-baza/
    24.8     1332  /calculator/zile-concediu-odihna/
    24.5     1549  /calculator/concediu-medical/
    23.8     1258  /cele-4-tipuri-de-certificat-constatator-online/
    23.6      382  /politica-cookies/
    22.5     1331  /calculator/reabilitare/
    22.3      628  /certificat-constatator-cu-istoric/
    21.5      836  /anii-lucrati-in-strainatate-se-pun-la-pensie-in-romania/
    21.3      847  /certificat-constatator-insolventa/
    19.6     1476  /calculator/calculator-procente/
    19.4     1234  /calculator/pensie-invaliditate/
    19.4      978  /sms-fals-amenda-ghiseul-ro/
    19.3      827  /certificat-constatator-pfa/
    19.2     1299  /calculator/concediu-paternal/
    19.1     1308  /calculator/vechime-in-munca/
    18.9     1323  /verificare-proprietar-imobil/
    18.7     1495  /calculator/taxa-judiciara-de-timbru/
    17.8     1293  /cazier-si-certificat-de-integritate-pentru-profesori/
    17.8     1293  /cat-poti-construi-pe-teren/
    17.7     1643  /calculator/penalitati-anaf/
    17.7     2204  /tva-9-locuinte-31-iulie-2026/
    17.6      739  /calculator/valabilitate-documente/
    17.6      795  /schimbare-sediu-social-srl-ghid/
    17.1     5901  /ancpi-nu-functioneaza/
    16.9      888  /radiere-firma-srl-ghid/
    16.8     1492  /calculator/cost-cadastru-intabulare/
    16.8     1249  /transcriere-certificat-de-nastere/
    16.6      963  /servicii/extras-de-carte-funciara/galati/
    16.4     1098  /calculator/calculator-impozit-auto/
    16.4     1589  /cat-costa-cadastrul-si-intabularea/
    16.2     1911  /
    16.2     1359  /calculator/cat-pot-construi/
    15.7      954  /servicii/extras-de-carte-funciara/arges/
    15.7      954  /servicii/extras-de-carte-funciara/timis/
    15.6     1087  /extras-carte-funciara-gratuit/
    15.4      712  /politica-de-anulare/
    15.4      521  /model-certificat-de-casatorie/
    15.0      936  /servicii/extras-de-carte-funciara/ilfov/
    14.7     1697  /termeni-si-conditii/
    14.7     4773  /servicii/cazier-judiciar-online/
    14.7     1428  /certificat-de-celibat/
    14.6     1231  /calculator/pensie-alimentara/
    14.6      959  /servicii/extras-de-carte-funciara/bucuresti/
    14.5     1447  /calculator/dividende/
    14.5     1383  /certificat-constatator-pentru-notar/
    14.4     1321  /servicii/cazier-judiciar-online/constanta/
    14.4      970  /servicii/extras-de-carte-funciara/cluj/
    14.4      974  /servicii/extras-de-carte-funciara/suceava/
    14.3     2660  /servicii/eliberare-certificat-de-casatorie/
    14.3     1328  /calculator/diurna/
    14.3      980  /servicii/extras-de-carte-funciara/iasi/
    14.3      979  /servicii/extras-de-carte-funciara/sibiu/
    14.2     1545  /certificat-de-celibat-pentru-casatorie-in-strainatate/
    14.1     1556  /cum-aflam-numarul-carte-functionara-si-nr-cadastral/
    14.0     1569  /calculator/contributii-pfa/
    14.0     1424  /calculator/tva/
    13.9     1292  /servicii/cazier-judiciar-online/cluj-napoca/
    13.8     2963  /servicii/eliberare-certificat-de-nastere/
    13.7     1170  /calculator/zile-lucratoare/
    13.7     1313  /servicii/cazier-judiciar-online/timisoara/
    13.6      956  /servicii/extras-de-carte-funciara/bihor/
    13.5     1039  /calculator/salariu/
    13.5      962  /servicii/extras-de-carte-funciara/dolj/
    13.4     1271  /servicii/cazier-judiciar-online/focsani/
    13.4      749  /servicii/extras-de-carte-funciara/bacau/
    13.4      746  /servicii/extras-de-carte-funciara/botosani/
    13.4      746  /servicii/extras-de-carte-funciara/braila/
    13.4      747  /servicii/extras-de-carte-funciara/gorj/
    13.4      748  /servicii/extras-de-carte-funciara/harghita/
    13.4      747  /servicii/extras-de-carte-funciara/maramures/
    13.4      748  /servicii/extras-de-carte-funciara/neamt/
    13.4      745  /servicii/extras-de-carte-funciara/teleorman/
    13.4      747  /servicii/extras-de-carte-funciara/tulcea/
    13.4      746  /servicii/extras-de-carte-funciara/vaslui/
    13.3      974  /servicii/extras-de-carte-funciara/mures/
    13.2     1292  /servicii/cazier-judiciar-online/ramnicu-valcea/
    13.2      983  /servicii/extras-de-carte-funciara/constanta/
    13.2      759  /servicii/extras-de-carte-funciara/giurgiu/
    13.2      757  /servicii/extras-de-carte-funciara/hunedoara/
    13.2      758  /servicii/extras-de-carte-funciara/ialomita/
    13.2      759  /servicii/extras-de-carte-funciara/olt/
    13.2      759  /servicii/extras-de-carte-funciara/salaj/
    13.2      759  /servicii/extras-de-carte-funciara/valcea/
    13.1      993  /servicii/extras-de-carte-funciara/brasov/
    13.1      763  /servicii/extras-de-carte-funciara/calarasi/
